fold,n_te,test_systems,lambda,EER_detector,EER_fused,EER_axis_alone,dEER
0,335,"A07,A14,A19",1.0,0.22392857142857142,0.20625,0.23875,-0.017678571428571432
1,359,"A10,A16,A17",1.0,0.10025125628140703,0.09461369346733667,0.2117776381909548,-0.005637562814070365
2,365,"A09,A12,A13",0.75,0.11234756097560974,0.030259146341463428,0.011814024390243904,-0.08208841463414632
3,283,"A11,A18",0.75,0.2335111788617886,0.21194105691056914,0.3085365853658536,-0.021570121951219462
4,258,"A08,A15",1.0,0.12372448979591838,0.045408163265306146,0.05873724489795916,-0.07831632653061224
