detector,detector_alone_eer,axis_alone_eer,fused_eer,dEER_mean,dEER_ci95_lo,dEER_ci95_hi,dEER_p
mini_goat,0.14375000000000002,0.1725,0.11375000000000002,-0.03,-0.045573225774096254,-0.012501542675713606,0.0
"robust_goat (regated, this run)",0.07125000000000001,0.1725,0.07562500000000003,0.004375000000000018,-0.007500425707831393,0.01563409545156672,0.559
"robust_goat (Workstream C, 3-seed mean, published)",0.07812500000000001,0.1725,0.07770833333333331,-0.00041666666666670404,-0.0074949103558823,0.006248168912997688,0.798
