fold,n_te,test_systems,lambda,EER_detector,EER_fused,EER_axis_alone,dEER
0,335,"A07,A14,A19",0.25,0.0985714285714286,0.10741071428571428,0.23875,0.008839285714285675
1,359,"A10,A16,A17",0.25,0.07267587939698492,0.03321293969849248,0.2117776381909548,-0.03946293969849243
2,365,"A09,A12,A13",0.25,0.01112804878048781,0.0,0.011814024390243904,-0.01112804878048781
3,283,"A11,A18",0.25,0.06064532520325204,0.08127540650406503,0.3085365853658536,0.020630081300812994
4,258,"A08,A15",0.25,0.042283163265306144,0.019579081632653074,0.05873724489795916,-0.02270408163265307
