channel,mean_logit,d_mean_logit,FPR_at_thr,cos_dmu_wmean,cos_dmu_ITW,slide_gaps
clean,3.062900995540743,0.0,0.265,,,0.0
telephone,2.5511007913341746,-0.5118002042065686,0.19,0.07130895613410636,0.18725035203324683,0.0909869372844696
lowpass3.4k,3.0213894445837166,-0.04151155095702652,0.24666666666666667,0.05568884071408378,0.14149848094267753,0.05347529798746109
mulaw8bit,3.0047346811617412,-0.05816631437900188,0.24666666666666667,0.07691953368939826,0.12298302132401258,0.009284375235438347
mp3_16k,4.2090114121527105,1.1461104166119673,0.49,0.1325647693904883,0.2849897341473576,0.1362026482820511
reverb,4.283770904342333,1.22086990880159,0.54,0.19626923358294435,0.5216366981613434,0.6697109341621399
wild_chain,3.7645828339333334,0.7016818383925902,0.4,0.15156478634611772,0.49202981701347576,0.7189414501190186
