epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.6149684190750122,0.7652618288993835,0.0,0.05340377986431122,1.1813172101974487,0.29756537079811096,1.2080188989639282
0,516,0.7956479787826538,0.8797796964645386,0.01818978786468506,0.17834879457950592,0.43234387040138245,0.2040487378835678,0.5306134223937988,,,,,,,
1,1033,,,,,,,,0.5770964622497559,0.769994854927063,0.0,0.03503698483109474,1.2035983800888062,0.29228392243385315,1.221116542816162
1,1033,0.809187650680542,0.8892045021057129,0.016960617154836655,0.054567914456129074,0.41545286774635315,0.19462178647518158,0.4512171149253845,,,,,,,
2,1550,,,,,,,,0.6248872876167297,0.7840368151664734,0.0,0.0317055769264698,0.957867443561554,0.28970760107040405,0.9737204313278198
2,1550,0.8144100308418274,0.8954586982727051,0.014092247001826763,0.04481734335422516,0.4059189260005951,0.18746373057365417,0.43537381291389465,,,,,,,
3,2067,,,,,,,,0.5793507695198059,0.7604759931564331,0.0,0.026966817677021027,1.6142812967300415,0.3128944933414459,1.6277647018432617
3,2067,0.8200193643569946,0.9008647203445435,0.013032687827944756,0.03617815673351288,0.39594578742980957,0.1807461827993393,0.4205515384674072,,,,,,,
4,2584,,,,,,,,0.5635707974433899,0.7755774855613708,0.0,0.02103758417069912,1.4949021339416504,0.3029756546020508,1.5054211616516113
4,2584,0.8251450657844543,0.9086095094680786,0.01344092097133398,0.028332052752375603,0.3813919126987457,0.17446808516979218,0.40227848291397095,,,,,,,
