bin,asv19 +bark n,asv19 +bark dlogit,asv19 +bark dprob,mlaad_cal +bark n,mlaad_cal +bark dlogit,mlaad_cal +bark dprob
"[0.0,0.5)",10,1.1653961330652236,0.19273381158709527,1,2.990605592727661,0.4864480495452881
"[0.5,0.8)",8,0.04511795472353697,-0.10038702562451363,15,3.469226789971193,0.23415569067001343
"[0.8,0.95)",14,-1.5026609253670489,-0.322822706507785,19,2.7097231777090776,-0.018851045715181453
"[0.95,1.0)",73,-4.9935155382303344,-0.3776611324450741,74,1.0384096036086212,0.0006839858519064414
