seed,delta_overall,delta_hard,delta_easy,delta_crosslang,baseline_overall,smoothaug_overall,baseline_hard,smoothaug_hard,baseline_crosslang,smoothaug_crosslang
42,0.023841616336191862,0.028253453015799512,-0.013496195434521407,-0.33530015603186336,0.378109061364042,0.40195067770023385,0.48995561591202674,0.5182090689278263,0.7217972406996798,0.3864970846678164
123,0.022207245709777113,-0.009816667218707609,0.011704044853824647,-0.13230475486573035,0.3932809990325277,0.41548824474230484,0.4905062767049783,0.4806896094862707,0.7190728422435739,0.5867680873778436
1024,0.03521176371133633,0.04302606737107073,-0.04475370444533444,-0.06886959021105366,0.3754085926566037,0.41062035636794003,0.4578475373455666,0.5008736047166373,0.585413073827708,0.5165434836166544
