pipeline,mlaad_eer,itw_eer,itw_FPR,itw_FNR,itw_acc,itw_bal
baseline (no correction),0.2625,0.3716666666666667,0.6636666666666666,0.149,0.5936666666666667,0.5936666666666667
blind correction ĝ(d),0.2858333333333334,0.4098333333333334,0.5996666666666667,0.23366666666666666,0.5833333333333334,0.5833333333333333
shuffled-descriptor control,0.2858333333333334,0.3873333333333333,0.5876666666666667,0.20833333333333334,0.602,0.602
