descriptor,importance
flatness,0.4254271505954161
mod_depth,0.15075839682000022
reverb_proxy,0.10752711307942572
hf_ratio,0.05685345027207459
zcr,0.05384045259098856
crest,0.04764611360457731
centroid,0.04333996140454135
lf_ratio,0.04270321403685794
bandwidth,0.040308022890183766
rolloff85,0.03159612470593441
