n_per_class,cos_to_full_mean,cos_to_full_sd
100,0.9520796447992325,0.02051622001642142
200,0.9751360803842545,0.012158088986135455
400,0.9874293804168701,0.004490158789969373
800,0.9957696884870529,0.002209763979240661
1500,0.9999999433755875,4.4103409609045815e-08
