name,group,kind,params,overall_eer,hard_eer,easy_eer,phoneme_var,frame_dist
smooth_ma_k3,smooth,moving_avg,{'k': 3},0.42090679390962116,0.5215130336855354,0.39195014149429647,0.2845033469836777,7.6011799647609815
smooth_ma_k5,smooth,moving_avg,{'k': 5},0.48102627203817294,0.5122470272597794,0.43825670274528106,0.2238666331116906,5.004801448728484
smooth_ma_k10,smooth,moving_avg,{'k': 10},0.570991799968064,0.5568298499552847,0.5600913148758643,0.14350989394478947,2.6317273530243304
smooth_exp_a03,smooth,exp_smooth,{'alpha': 0.3},0.47345791495636985,0.5198610513066808,0.46581891647460394,0.20087659501462665,4.953567698566136
smooth_exp_a05,smooth,exp_smooth,{'alpha': 0.5},0.4176556644092314,0.5024303600410718,0.3605260086938764,0.2741379993052309,7.936420481850598
smooth_exp_a07,smooth,exp_smooth,{'alpha': 0.7},0.3683556728628725,0.4784869663144645,0.30319893806342446,0.33048659375208056,11.020889037199366
baseline,baseline,none,{},0.3596859941951664,0.4741769070252725,0.2585443591912945,0.410225181422459,16.368856653984167
jitter_perm_k3,jitter,local_perm,{'k': 3},0.4311932314513023,0.5253676592361962,0.38974749832249034,0.4121294780116942,19.19604240780446
jitter_perm_k5,jitter,local_perm,{'k': 5},0.4723742051229065,0.4888542943261237,0.44211862181637834,0.41577137174864864,20.564636933015606
jitter_perm_k10,jitter,local_perm,{'k': 10},0.4604533969548106,0.5073863071776357,0.3913994807013449,0.4073892386399337,22.77408741532104
jitter_gauss_s001,jitter,gauss_noise,{'sigma': 0.01},0.3580692353211914,0.4736262462323209,0.2579936983983429,0.4102962305610124,16.379216594228357
jitter_gauss_s005,jitter,gauss_noise,{'sigma': 0.05},0.3559018156542648,0.4812402702792223,0.2530304577413426,0.4119881404619505,16.556640079026536
jitter_gauss_s01,jitter,gauss_noise,{'sigma': 0.1},0.36023665498811797,0.4806896094862707,0.2508278145695364,0.41734092824288416,17.012273443278982
