seed,condition,rank1,rank2,rank3,rank4,rank5,rank6,top2
42,goat,2,1,4,5,3,0,"[2, 1]"
42,robust_goat,4,2,1,5,3,0,"[4, 2]"
123,goat,4,0,1,5,2,3,"[4, 0]"
123,robust_goat,4,0,1,5,3,2,"[4, 0]"
456,goat,2,0,3,4,1,5,"[2, 0]"
456,robust_goat,0,2,4,1,3,5,"[0, 2]"
789,goat,3,2,1,5,0,4,"[3, 2]"
789,robust_goat,3,2,5,0,1,4,"[3, 2]"
1024,goat,0,2,4,1,5,3,"[0, 2]"
1024,robust_goat,2,0,5,4,1,3,"[2, 0]"
