cond,Q1_easy,Q2,Q3,Q4_hard
baseline,0.948144257290506,0.8709751946556061,0.7734123176002765,0.6158966220991681
combo,0.9385198057290823,0.8663370090111152,0.7659953326436438,0.6128903764006277
smooth_3,0.9378335253161226,0.8700302404211555,0.7676849448479405,0.62354715958462
smooth_5,0.9405478763846661,0.8710846288507813,0.7634725944026605,0.6206206186432887
spec_1.25,0.9467327825515969,0.87330672916576,0.7696090176003905,0.627455657785484
spec_1.6,0.9434688269528976,0.874872902116359,0.7716238852584302,0.6300387217495164
spec_2.0,0.943213843685395,0.8660726326146988,0.7675059527341097,0.6168038994858287
sub_res_0.5,0.9458384067273856,0.8841362225407641,0.7844588417578504,0.6252567714936739
sub_res_0.7,0.9474152423651273,0.8766477602214409,0.7797991917325617,0.6258090007440481
