epoch,step,test-acc,test-auc,test-aug_loss,test-clip_loss,test-cls_loss,test-eer,test-loss,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss
0,6,,,,,,,,0.4000000059604645,0.49450549483299255,0.44187790155410767,4.120038986206055,0.760515570640564,0.4285714328289032,3.0414741039276123
1,13,,,,,,,,0.550000011920929,0.615384578704834,0.3323966860771179,4.059032440185547,0.695878803730011,0.38461539149284363,2.8915934562683105
2,20,,,,,,,,0.6000000238418579,0.5164835453033447,0.30176597833633423,3.9390792846679688,0.6855056285858154,0.5384615659713745,2.8059282302856445
3,27,,,,,,,,0.6000000238418579,0.49450549483299255,0.29494526982307434,2.8786845207214355,0.6660800576210022,0.4615384638309479,2.2528953552246094
4,28,0.6000000238418579,0.791208803653717,0.0,2.873018741607666,0.6275677680969238,0.3076923191547394,2.064077138900757,,,,,,,
