epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,train-rank_loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.515329122543335,0.7246810793876648,0.0,0.011448678560554981,1.5690103769302368,0.33070334792137146,1.5747345685958862
0,516,0.7908123731613159,0.8694144487380981,0.014497763477265835,0.01430035661906004,0.4581717550754547,0.2073902040719986,0.5260239839553833,0.5345303416252136,,,,,,,
1,1033,,,,,,,,,0.5148782730102539,0.749323308467865,0.0,0.008932114578783512,1.4871962070465088,0.3047790825366974,1.4916625022888184
1,1033,0.7999032735824585,0.876914381980896,0.014377937652170658,0.012909900397062302,0.4469352960586548,0.19877497851848602,0.5114617347717285,0.5088212490081787,,,,,,,
2,1550,,,,,,,,,0.5387736558914185,0.7796006202697754,0.0,0.018812039867043495,1.2988044023513794,0.30162307620048523,1.3082104921340942
2,1550,0.8074468374252319,0.8861316442489624,0.012867714278399944,0.009488139301538467,0.43154263496398926,0.19253385066986084,0.49524572491645813,0.52524733543396,,,,,,,
3,2067,,,,,,,,,0.6366095542907715,0.7834298610687256,0.0,0.01055389828979969,0.8376719951629639,0.27817854285240173,0.8429492115974426
3,2067,0.8133462071418762,0.8911080360412598,0.012664822861552238,0.007936691865324974,0.42254120111465454,0.18297871947288513,0.48235613107681274,0.49514007568359375,,,,,,,
4,2584,,,,,,,,,0.5522993803024292,0.7612878680229187,0.0,0.011309831403195858,1.4138352870941162,0.29970693588256836,1.419490098953247
4,2584,0.8141199350357056,0.8925981521606445,0.010539957322180271,0.008941900916397572,0.41958412528038025,0.1835945099592209,0.4783070981502533,0.4898207485675812,,,,,,,
