seed,cond,mode,param,gated,rog,rog_ratio,vel,vel_ratio,eff_rank,AUC,EER,sec
s1,baseline,none,,True,14.871038436889648,1.0004304737244754,10.814122200012207,0.9988275957017949,38.431097666422524,0.9804625,0.07125000000000001,48.01186275482178
s1,iso_0.5,iso,0.5,True,7.433493137359619,0.5000789347964151,5.417141119639079,0.5003448213392968,39.11104838053385,0.9678796875,0.103125,48.48982524871826
s1,iso_0.7,iso,0.7,True,10.370344479878744,0.6976519282577439,7.5546441078186035,0.6977715686056026,38.91665903727213,0.9775328125,0.08125000000000002,49.12135624885559
s1,iso_0.875,iso,0.875,True,12.969572385152182,0.8725117281046776,9.393403689066568,0.8676054004823563,38.66705449422201,0.97765,0.083125,35.94749689102173
s1,iso_1.25,iso,1.25,True,18.539947509765625,1.2472517335447841,13.431820233662924,1.2406067234817373,38.74966176350912,0.9811984375,0.06687500000000002,33.15044927597046
s1,shift_0.5,shift,7.432319800059001,True,14.926578839619955,1.0041668847121905,10.824528058369955,0.9997887147175086,38.89906565348307,0.9701015625,0.09187500000000001,33.0983510017395
s1,shift_0.7,shift,4.459391880035401,True,14.854454040527344,0.999314779243583,10.696369171142578,0.9879515419142464,38.642565409342446,0.9796406250000002,0.08250000000000002,28.88809561729431
s1,shift_0.875,shift,1.8580799500147502,True,14.866350491841635,1.0001150980965337,10.845401128133139,1.001716619516518,39.034881591796875,0.9809890625,0.06874999999999999,24.0353844165802
s1,shift_1.25,shift,3.7161599000295005,True,14.915560086568197,1.0034256119098772,10.888062159220377,1.0056569314829369,39.37797292073568,0.9781593749999999,0.08187500000000003,24.14136242866516
s1,iso_0.7_ungated,iso,0.7,False,9.685206413269043,0.6515601234753218,6.929533402125041,0.6400343050841446,34.68164507548014,0.9672500000000002,0.095,24.453624725341797
s1,spec_0.6,spec,0.6,True,14.87109629313151,1.0004343659306383,13.753920873006185,1.2703569890343938,74.07747650146484,0.974209375,0.08687500000000001,37.94936752319336
s1,spec_0.8,spec,0.8,True,14.791387557983398,0.995072060668459,11.977312088012695,1.1062636073990602,52.80536905924479,0.9781171875,0.07562499999999997,42.992796421051025
s1,spec_1.25,spec,1.25,True,14.927682558695475,1.004241136029761,9.697131474812826,0.8956586893553471,27.136423110961914,0.9832625,0.06625000000000002,42.634519815444946
s1,spec_1.6,spec,1.6,True,14.927708307902018,1.004242868275361,8.444757461547852,0.7799853409824713,16.88001314798991,0.98411875,0.0675,33.75810265541077
s1,smooth_3,smooth,3.0,True,14.90906810760498,1.0029888721611944,6.950051466623942,0.6419294204391264,26.056420008341473,0.9833421875,0.06999999999999998,23.82425880432129
s1,smooth_5,smooth,5.0,True,14.908668200174967,1.0029619688900238,5.1655276616414385,0.4771049817434659,19.60569445292155,0.9819453125000001,0.08124999999999999,24.079833507537842
s1,smooth_9,smooth,9.0,True,14.836516698201498,0.998108067018572,3.564481258392334,0.3292271142673147,13.112700780232748,0.9768203125,0.08499999999999999,24.4627206325531
s1,jitter_0.5,jitter,0.5,True,14.849919001261393,0.9990096901605006,12.716280619303385,1.1745171510299555,51.3299674987793,0.981440625,0.07125000000000001,24.34736967086792
s1,jitter_1.0,jitter,1.0,True,14.870073318481445,1.0003655465930974,15.3873872756958,1.4212292733938479,76.38291422526042,0.976040625,0.080625,24.289679527282715
s1,shuffle,shuffle,,True,14.895874659220377,1.002101299455799,20.834021250406902,1.9242981510159503,38.971439361572266,0.9634828124999999,0.10062499999999999,24.69564962387085
s1,sub_top_0.7,sub_top,0.7,True,10.66942024230957,0.7177718753588127,9.469603220621744,0.8746434377348643,49.31809870402018,0.939559375,0.13625,34.18834185600281
