detector,pred,rho,p_perm,p_holm_within,p_holm_all8,q_bh_all8
wavlm_gat,P1,0.25274725274725274,0.4028579857100715,0.5306823465882671,0.9783251083744581,0.805715971420143
wavlm_gat,P2,0.19230769230769232,0.5306823465882671,0.5306823465882671,0.9783251083744581,0.8208225625538539
wavlm_gat,P3,0.5989010989010989,0.03360983195084025,0.134439327803361,0.23526882365588173,0.134439327803361
wavlm_gat,P4,-0.3736263736263736,0.2092639536802316,0.5306823465882671,0.9783251083744581,0.5580372098139509
aasist_zs,P1,0.15384615384615383,0.6156169219153904,0.9783251083744581,0.9783251083744581,0.8208225625538539
aasist_zs,P2,0.06593406593406594,0.8346258268708656,0.9783251083744581,0.9783251083744581,0.9538580878524179
aasist_zs,P3,0.6428571428571429,0.020444897775511124,0.0817795911020445,0.163559182204089,0.134439327803361
aasist_zs,P4,-0.010989010989010988,0.9783251083744581,0.9783251083744581,0.9783251083744581,0.9783251083744581
