system,eer_baseline,eer_ablate_topheads,eer_keep_topheads,eer_random_ctrl,delta_ablate_topheads,delta_keep_topheads,delta_random_ctrl,ci_baseline_lo,ci_baseline_hi,ci_ablate_topheads_lo,ci_ablate_topheads_hi,ci_keep_topheads_lo,ci_keep_topheads_hi,ci_random_ctrl_lo,ci_random_ctrl_hi
A01,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.10120154216185609,0.0,0.10979647981231835,0.0,0.08972300281011641,0.0,0.09903381642512077
A02,0.14,0.12,0.16,0.18,-0.020000000000000018,0.01999999999999999,0.03999999999999998,0.058094068709024706,0.2396646482344651,0.05021458583433373,0.2,0.06999512987012987,0.230228823765556,0.08,0.25948592411260707
A03,0.08,0.1,0.06,0.08,0.020000000000000004,-0.020000000000000004,0.0,0.02914614121510673,0.14218355429292914,0.030991193901911615,0.17001898864899143,0.0202899531024531,0.1498397435897436,0.02000800320128051,0.1313739635010454
A04,0.16,0.14,0.14,0.18,-0.01999999999999999,-0.01999999999999999,0.01999999999999999,0.08972300281011641,0.23000572059413887,0.07019211822660099,0.2203636215375351,0.060216780409474105,0.21074652777777778,0.08972300281011641,0.25
A05,0.1,0.08,0.06,0.14,-0.020000000000000004,-0.04000000000000001,0.04000000000000001,0.029171766625866992,0.15942468159859463,0.029499086321145732,0.1600016006402561,0.0,0.1000430220164989,0.060216780409474105,0.21817938037140863
A06,0.26,0.24,0.22,0.3,-0.020000000000000018,-0.04000000000000001,0.03999999999999998,0.1707070707070707,0.35000400641025636,0.1595959595959596,0.3306339451908023,0.14094455889011248,0.3301282051282051,0.2,0.400974025974026
pooled,0.14,0.12,0.14,0.18,-0.020000000000000018,0.0,0.03999999999999998,nan,nan,nan,nan,nan,nan,nan,nan
