seed,model,metric,mean,std
seed3,lr_struct,bal_acc,0.85,0.04048319267163707
seed3,gbt_struct,bal_acc,0.8416666666666668,0.03908679799852858
seed3,lr_phoneme,bal_acc,0.595,0.07180219742846007
seed3,lr_struct,f1,0.8193406593406592,0.05084660759636597
seed3,gbt_struct,f1,0.808946796178787,0.04710550548684625
seed3,lr_phoneme,f1,0.4887129543042759,0.1089530794947953
seed3,lr_struct,auc,0.942,0.01446835627614049
seed3,gbt_struct,auc,0.9283333333333331,0.015266157196739285
seed3,lr_phoneme,auc,0.6329999999999999,0.06837315912614314
