epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.611361563205719,0.7740508913993835,0.0,0.04207328334450722,1.1534291505813599,0.2883228063583374,1.1744663715362549
0,516,0.8016440868377686,0.882146418094635,0.017217950895428658,0.09576881676912308,0.42930349707603455,0.19784311950206757,0.4857970178127289,,,,,,,
1,1033,,,,,,,,0.5229936838150024,0.8091087341308594,0.0,0.04123056307435036,1.284909963607788,0.26278501749038696,1.3055250644683838
1,1033,0.8021276593208313,0.887443482875824,0.015367885120213032,0.04931557551026344,0.4200066924095154,0.19760170578956604,0.4523482322692871,,,,,,,
2,1550,,,,,,,,0.580252468585968,0.7754193544387817,0.0,0.02596060000360012,1.443297266960144,0.2950405776500702,1.4562783241271973
2,1550,0.8143133521080017,0.8949971795082092,0.015047956258058548,0.03710474073886871,0.4049544930458069,0.19079837203025818,0.43103107810020447,,,,,,,
3,2067,,,,,,,,0.5915238857269287,0.7595844268798828,0.0,0.0260578952729702,1.0571179389953613,0.3020739257335663,1.070147156715393
3,2067,0.8135396242141724,0.9004800319671631,0.016223473474383354,0.031470317393541336,0.3955179750919342,0.18491296470165253,0.41936489939689636,,,,,,,
4,2584,,,,,,,,0.5586113333702087,0.7721782922744751,0.0,0.02877635322511196,1.7681258916854858,0.3068830668926239,1.7825143337249756
4,2584,0.8199226260185242,0.9023223519325256,0.018683254718780518,0.03037646785378456,0.3931632339954376,0.18113231658935547,0.4176929295063019,,,,,,,
