alpha,thr,mlaad_eer,itw_eer,itw_FPR,itw_FNR,itw_acc,itw_bal,k
2.0,3.986245632171631,0.25249999999999995,0.36849999999999994,0.6613333333333333,0.13866666666666666,0.6,0.6,0
2.0,4.1412272453308105,0.28,0.377,0.6773333333333333,0.136,0.5933333333333334,0.5933333333333333,1
2.0,4.183328628540039,0.2683333333333333,0.3846666666666667,0.655,0.14566666666666667,0.5996666666666667,0.5996666666666667,2
2.0,3.599679946899414,0.2633333333333333,0.37516666666666665,0.7096666666666667,0.12166666666666667,0.5843333333333334,0.5843333333333334,3
2.0,3.8235700130462646,0.2583333333333333,0.3653333333333333,0.6746666666666666,0.12733333333333333,0.599,0.599,4
2.0,4.1742262840271,0.255,0.3825,0.655,0.14666666666666667,0.5991666666666666,0.5991666666666666,5
2.0,4.117555618286133,0.2475,0.3736666666666667,0.6543333333333333,0.14566666666666667,0.6,0.6000000000000001,6
2.0,3.948122262954712,0.26083333333333336,0.3826666666666667,0.649,0.16233333333333333,0.5943333333333334,0.5943333333333334,7
2.0,4.1625471115112305,0.2633333333333333,0.3713333333333333,0.649,0.14433333333333334,0.6033333333333334,0.6033333333333333,8
2.0,4.403221607208252,0.255,0.37816666666666665,0.632,0.155,0.6065,0.6065,9
2.0,4.21575403213501,0.2708333333333333,0.3773333333333333,0.6563333333333333,0.145,0.5993333333333334,0.5993333333333333,10
2.0,3.960724353790283,0.2625,0.378,0.6853333333333333,0.123,0.5958333333333333,0.5958333333333333,11
