alpha,thr,mlaad_eer,itw_eer,itw_FPR,itw_FNR,itw_acc,itw_bal
0.0,4.090639114379883,0.2666666666666667,0.37583333333333335,0.664,0.143,0.5965,0.5965
0.25,4.064146518707275,0.2566666666666667,0.38649999999999995,0.6353333333333333,0.16933333333333334,0.5976666666666667,0.5976666666666667
0.5,4.0675811767578125,0.26083333333333336,0.3943333333333333,0.6166666666666667,0.19766666666666666,0.5928333333333333,0.5928333333333333
0.75,3.944856643676758,0.265,0.3956666666666667,0.6043333333333333,0.22466666666666665,0.5855,0.5855
1.0,3.8653690814971924,0.26083333333333336,0.4085,0.5883333333333334,0.262,0.5748333333333333,0.5748333333333333
1.5,3.765132427215576,0.255,0.42300000000000004,0.5486666666666666,0.317,0.5671666666666667,0.5671666666666667
2.0,3.655076503753662,0.27,0.43666666666666665,0.5313333333333333,0.361,0.5538333333333333,0.5538333333333334
