pair,type,rho,ci_lo,ci_hi
aasist_ft~wavlm_gat,same-domain (MLAAD/MLAAD),0.5534108937070332,0.32347431579017705,0.7287715133726324
aasist_zs~robust_goat,same-domain (ASVspoof/ASVspoof),0.5442094130089898,0.3262832192683428,0.7179501840268221
aasist_ft~aasist_zs,same-arch cross-domain,0.3078794288736118,0.04494915406161472,0.5378443051131764
aasist_ft~robust_goat,cross/cross,0.36017979904812264,0.07700857709191643,0.5989101387943396
wavlm_gat~aasist_zs,cross/cross,0.32020095187731357,0.055322647238104004,0.5450904342121219
wavlm_gat~robust_goat,cross/cross,0.301427815970386,0.03746173863004576,0.5365648625409329
