contrast,delta,ci_lo,ci_hi,p_two
(aasist_ft~wavlm_gat) - (aasist_ft~aasist_zs),0.2423355187661404,-0.04576346024351286,0.5244325034163166,0.10133333333333333
(aasist_ft~wavlm_gat) - (aasist_ft~robust_goat),0.18707428430474704,-0.10570375996815828,0.4804157497104796,0.22266666666666668
(aasist_ft~wavlm_gat) - (wavlm_gat~aasist_zs),0.2316858513494361,-0.06711922577847776,0.5121685976373651,0.11933333333333333
(aasist_ft~wavlm_gat) - (wavlm_gat~robust_goat),0.24868034207087653,-0.016836068534826987,0.5332212988937702,0.062
