seed,intervention,param,measured_T,C_atL9,EER,AUC,Acc
s1,T_smooth,3.0,2.645923777405871,4.113743782043457,0.1199999999998782,0.95721875,0.885
s1,T_smooth,5.0,2.6918943018694055,3.618340492248535,0.22124999999983308,0.8731796875,0.784375
s1,T_smooth,9.0,2.720418997267592,2.9907350540161133,0.41875,0.6563515625,0.609375
s1,T_smooth,15.0,2.604484476661014,2.459765672683716,0.42624999999996765,0.6250828125000001,0.626875
s1,T_jitter,0.5,2.679944754836674,5.064033508300781,0.07375000000024193,0.9789890625,0.9275
s1,T_jitter,1.0,2.639883358773395,5.731281757354736,0.08500000000170457,0.97444375,0.91625
s1,T_jitter,2.0,2.6584170291740605,7.81694221496582,0.14999999999994115,0.9357015624999999,0.85625
s1,T_jitter,4.0,2.617555666037262,13.397924423217773,0.3537500000006364,0.7052140625,0.655
s3,T_smooth,3.0,2.5911909198860976,4.121178150177002,0.09250000000082285,0.97185625,0.910625
s3,T_smooth,5.0,2.687285425999772,3.58323335647583,0.12250000000000116,0.9508296875,0.879375
s3,T_smooth,9.0,2.6636727965463685,2.981786012649536,0.34999999999999853,0.7326,0.66375
s3,T_smooth,15.0,2.585460568846047,2.470745801925659,0.3962499999996944,0.6668312499999999,0.61
s3,T_jitter,0.5,2.684105004636727,5.058889389038086,0.0799999999999,0.9744656249999999,0.92125
s3,T_jitter,1.0,2.627623619651671,5.733998775482178,0.09624999999986321,0.9668687499999999,0.90875
s3,T_jitter,2.0,2.6805370507920645,7.893498420715332,0.12375000000000008,0.9454078124999999,0.87875
s3,T_jitter,4.0,2.624736862178806,13.366177558898926,0.2962499999999733,0.7712078125,0.706875
s7,T_smooth,3.0,2.6119232163435164,4.120441913604736,0.08249999999999866,0.9748374999999999,0.91875
s7,T_smooth,5.0,2.666523795401173,3.597529649734497,0.144999999999999,0.9430890625000001,0.864375
s7,T_smooth,9.0,2.6576369367658783,2.9646108150482178,0.3312499999991621,0.7676281250000001,0.69875
s7,T_smooth,15.0,2.611289357939619,2.4825806617736816,0.3662499999999987,0.6971296875,0.6575
s7,T_jitter,0.5,2.670914505315692,5.054140567779541,0.07250000000108942,0.9803140625,0.928125
s7,T_jitter,1.0,2.6505417221920675,5.757616996765137,0.0725000000015146,0.9767890625000001,0.92875
s7,T_jitter,2.0,2.6276689886114895,7.825876712799072,0.13625000000000254,0.9375984375000002,0.868125
s7,T_jitter,4.0,2.661784691017412,13.400689125061035,0.3412500000000001,0.7256984375,0.66875
