quintile,snr_db_med,n_spoof,rho_T_logit,cliff_T,cliff_C,mean_T
1,12.0,495,-0.024449503524206412,-0.11346658070062321,-0.22125080593165702,2.714625520714371
2,18.0,489,0.026635187918071786,-0.08207283154864109,-0.10731450562156475,2.7318537114250616
3,25.0,528,-0.05616432526699653,-0.13399621212121215,-0.2545939303751804,2.746340995283011
4,35.0,672,0.05140417154764462,-0.13609307359307354,-0.3345395923520924,2.7401721331170963
5,100.0,816,0.06584927111542828,-0.017820669934640487,-0.36014731413398693,2.7445749357445237
