epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.646528422832489,0.7255197763442993,0.0,0.02272881008684635,0.7505030035972595,0.3342350423336029,0.7618674039840698
0,516,0.652417778968811,0.7212106585502625,0.02148672193288803,0.3247973322868347,0.6140687465667725,0.34744778275489807,0.7872111797332764,,,,,,,
1,1033,,,,,,,,0.5716862082481384,0.6861428022384644,0.0,0.01593715511262417,1.0540534257888794,0.36699730157852173,1.0620218515396118
1,1033,0.6742746829986572,0.7447394132614136,0.014293285086750984,0.27180320024490356,0.5938429832458496,0.32624250650405884,0.7368914484977722,,,,,,,
2,1550,,,,,,,,0.6154192686080933,0.7047144770622253,0.0,0.01420226413756609,0.7329570055007935,0.34385332465171814,0.7400578856468201
2,1550,0.674564778804779,0.7513660192489624,0.01398278959095478,0.23829235136508942,0.5866762399673462,0.3273395299911499,0.7128138542175293,,,,,,,
3,2067,,,,,,,,0.6239855885505676,0.6660095453262329,0.0,0.0077059208415448666,0.680984616279602,0.37511271238327026,0.6848375797271729
3,2067,0.6794971227645874,0.753564178943634,0.01224059984087944,0.22474601864814758,0.5853455662727356,0.32140785455703735,0.7038388848304749,,,,,,,
4,2584,,,,,,,,0.6717763543128967,0.7428385615348816,0.0,0.012550752609968185,0.7562150955200195,0.34475502371788025,0.7624905705451965
4,2584,0.6837524175643921,0.7577263712882996,0.012479386292397976,0.21276859939098358,0.5813170671463013,0.3143778145313263,0.6939411163330078,,,,,,,
