seed,scorer,EER,AUC
main,detector,0.26597151122925333,0.8057635046917708
main,fused,0.15710270234729437,0.9224930257460339
s42,detector,0.28547828823159216,0.7857254398241643
s42,fused,0.16792218892948724,0.9116265744906681
s1024,detector,0.26488780139579005,0.8006971905732507
s1024,fused,0.1630543005551224,0.9175088998055663
-,axis_alone,0.18742896593182606,0.8724826935179357
