quartile,AUC_detector,AUC_fused,delta
Q1_easy,0.9495042495168601,0.985082078831213,0.03557782931435294
Q2,0.8704591929290146,0.952196816852492,0.08173762392347739
Q3,0.768711956613572,0.9050083440788288,0.13629638746525685
Q4_hard,0.6167925021948014,0.8370636116301035,0.22027110943530204
