fold,n_te,dEER_main,dEER_s42,dEER_s1024
0,356,-0.14326765188834154,-0.18536061639509915,-0.09268030819754955
1,379,-0.12218999274836842,-0.09767389970435653,-0.07399453338539635
2,378,-0.10576923076923078,-0.11872056514913656,-0.08477237048665626
3,379,-0.10251688152240646,-0.12137954126904404,-0.09746637647190129
4,354,-0.08755149618369362,-0.10174687829336057,-0.11292434452144476
