feature,real_mean,synth_mean,cliffs_delta_real_gt_synth,mannwhitney_p,bh_fdr_q
spectral_flux,0.4998297572135925,0.44735426738858225,0.357,0.01205953653060082,0.10853582877540738
voiced_fraction,0.2738095238095238,0.4214285714285715,-0.2765,0.05181003267639909,0.2331451470437959
onset_rate_hz,7.025,6.23,0.201,0.1568326956281605,0.3294090958008652
envelope_cv,1.2160603791475295,1.1072199404984713,0.198,0.1643003062388697,0.3294090958008652
f0_cv,0.09896552487913754,0.1304067256163458,-0.1895,0.18300505322270288,0.3294090958008652
envelope_entropy,0.8623442791406344,0.8745185029467906,-0.167,0.24101335116150813,0.3615200267422622
f0_mean_hz,258.82025916642067,288.1440124971571,-0.1375,0.3344424707434117,0.42999746238438646
inter_onset_cv,0.8614623295045136,0.8997993105042609,-0.122,0.3922308471690441,0.4412597030651746
harmonic_percussive_ratio,0.2682438302086666,16.779565665516493,-0.087,0.5424484453746106,0.5424484453746106
