held_out_generator,n_per_class,auc_mean,auc_std,repeats
audioldm2,10,0.31079999999999997,0.17421641713684735,50
bark_laughs_inline,10,0.7286,0.10809273796143756,50
bark_laughter_token,10,0.7073999999999999,0.11627226668470862,50
parler_tts,10,0.7058,0.1018251442424709,50
xtts,10,0.511,0.13727709204379296,50
