test,n_pairs,statistic,p_value,rank_biserial_r,mean_laugh_bona,mean_speech_bona
paired_wilcoxon_C_layer12,180,5746.0,0.0006104199019383938,-0.294536525475752,-179.65090556247839,-177.1117969627964
paired_wilcoxon_T_layer9,180,7862.5,0.8810690723251334,-0.012930763919402424,0.7702772437123252,0.768147766215812
h4_probe_genuine_vs_synthetic_laughter_auc,442,,,,0.9902225378787879,0.0073961347223400935
