generator,feature,real_mean,synthetic_mean,cliffs_delta_real_gt_synth,p_value,n_real,n_synthetic
audioldm2,spectral_cog_hz,1915.6469555316228,2598.0614849092995,-0.845,5.1657788244971414e-06,20,20
audioldm2,f0_mean_hz,243.91209514021577,431.70575070906654,-0.8210526315789474,1.2471804640506605e-05,19,20
audioldm2,bout_duration_s,3.3031750000000004,3.7512406250000003,-0.58,0.0017806005832907757,20,20
audioldm2,spectral_cog_std_hz,650.9049793771127,530.8597833460901,0.33,0.07643094557954021,20,20
audioldm2,f0_std_hz,32.67439399088439,46.28289665383539,-0.3105263157894737,0.1002365121498762,19,20
audioldm2,f0_range_hz,118.77547714085648,155.3296106101082,-0.2789473684210526,0.1401595042307657,19,20
audioldm2,voicing_transition_rate_hz,1.715033537530212,1.869262003459881,-0.165,0.37930957872492843,20,20
audioldm2,inter_onset_cv,0.5463121792198463,0.5971493895817478,-0.16,0.39417090995164517,20,20
audioldm2,voiced_fraction,0.23914917976160108,0.23461105798232254,-0.085,0.6553463181427222,20,20
audioldm2,unvoiced_run_mean_s,0.9332444444444447,0.794624761904762,0.07,0.7149798814655983,20,20
audioldm2,voiced_burst_mean_s,0.2836491228070176,0.2779733333333333,0.06315789473684211,0.7465903855446152,19,20
audioldm2,harmonicity_acf_db,-2.0597673684910864,-2.322780500226895,-0.005,0.9892089047911196,20,20
bark_laughs_inline,bout_duration_s,3.3031750000000004,7.266140625,-0.885,1.8029691721083094e-06,20,20
bark_laughs_inline,voiced_fraction,0.23914917976160108,0.6173287521108706,-0.87,2.68976868945904e-06,20,20
bark_laughs_inline,inter_onset_cv,0.5463121792198463,1.1928750570997972,-0.87,2.68976868945904e-06,20,20
bark_laughs_inline,unvoiced_run_mean_s,0.9332444444444447,0.28438035480859014,0.76,4.162302936917381e-05,20,20
bark_laughs_inline,voiced_burst_mean_s,0.2836491228070176,0.4428630884148532,-0.6078947368421053,0.0012305112342039781,19,20
bark_laughs_inline,voicing_transition_rate_hz,1.715033537530212,2.7333794424990865,-0.56,0.002560615287144587,20,20
bark_laughs_inline,spectral_cog_std_hz,650.9049793771127,885.2676193694145,-0.545,0.003336179304756405,20,20
bark_laughs_inline,harmonicity_acf_db,-2.0597673684910864,0.7288138093114573,-0.405,0.02944088441208284,20,20
bark_laughs_inline,f0_range_hz,118.77547714085648,158.63169168093944,-0.33157894736842103,0.07907160885075645,19,20
bark_laughs_inline,f0_std_hz,32.67439399088439,43.75116764249252,-0.28421052631578947,0.1327822630848852,19,20
bark_laughs_inline,f0_mean_hz,243.91209514021577,194.47615644627757,0.22105263157894736,0.24359449916703413,19,20
bark_laughs_inline,spectral_cog_hz,1915.6469555316228,1740.496255548882,0.21,0.2616164678785774,20,20
bark_laughter_token,voiced_fraction,0.23914917976160108,0.5518027801098249,-0.71,0.00012940533589153548,20,20
bark_laughter_token,inter_onset_cv,0.5463121792198463,0.8809401821193104,-0.605,0.0011159472351770113,20,20
bark_laughter_token,harmonicity_acf_db,-2.0597673684910864,2.0241356536271597,-0.535,0.003966238640223918,20,20
bark_laughter_token,voiced_burst_mean_s,0.2836491228070176,0.817807619047619,-0.5368421052631579,0.00433793673732336,19,20
bark_laughter_token,unvoiced_run_mean_s,0.9332444444444447,0.6710085714285714,0.42,0.023903145867558404,20,20
bark_laughter_token,f0_range_hz,118.77547714085648,169.9656530386085,-0.26842105263157895,0.1559201526064689,19,20
bark_laughter_token,bout_duration_s,3.3031750000000004,4.472275,-0.25,0.1805773768084653,20,20
bark_laughter_token,spectral_cog_hz,1915.6469555316228,1706.3532188230124,0.23,0.21840551261012597,20,20
bark_laughter_token,f0_std_hz,32.67439399088439,48.813484641536355,-0.23157894736842105,0.22161518626465104,19,20
bark_laughter_token,voicing_transition_rate_hz,1.715033537530212,2.110044055645364,-0.175,0.3507022236669548,20,20
bark_laughter_token,f0_mean_hz,243.91209514021577,221.65134900373792,0.12105263157894737,0.5272591878694695,19,20
bark_laughter_token,spectral_cog_std_hz,650.9049793771127,724.5872642899412,-0.11,0.5608516966002302,20,20
parler_tts,harmonicity_acf_db,-2.0597673684910864,3.971151161626634,-0.835,6.6736514304002175e-06,20,20
parler_tts,unvoiced_run_mean_s,0.9332444444444447,0.4462844733044734,0.685,0.00022220262013680647,20,20
parler_tts,voiced_fraction,0.23914917976160108,0.5214876935131983,-0.6275,0.0007211229658270127,20,20
parler_tts,voicing_transition_rate_hz,1.715033537530212,3.260232700448877,-0.6025,0.0011697186684680248,20,20
parler_tts,spectral_cog_hz,1915.6469555316228,1493.9028611881736,0.57,0.0021392613957354222,20,20
parler_tts,f0_range_hz,118.77547714085648,236.14632217686832,-0.5235457063711911,0.006063894097557054,19,19
parler_tts,f0_std_hz,32.67439399088439,69.16079636044314,-0.5124653739612188,0.007233111058318337,19,19
parler_tts,f0_mean_hz,243.91209514021577,287.35077038209516,-0.1745152354570637,0.3654456999043998,19,19
parler_tts,voiced_burst_mean_s,0.2836491228070176,0.33650903015113537,-0.13019390581717452,0.5017514655672646,19,19
parler_tts,inter_onset_cv,0.5463121792198463,0.5821529204170817,-0.125,0.507505297961912,20,20
parler_tts,spectral_cog_std_hz,650.9049793771127,614.8757222348656,0.065,0.7352681529274933,20,20
parler_tts,bout_duration_s,3.3031750000000004,3.264840625,-0.005,0.9892089047911196,20,20
xtts,unvoiced_run_mean_s,0.9332444444444447,1.763252380952381,-0.3675,0.04828610767668166,20,20
xtts,harmonicity_acf_db,-2.0597673684910864,-3.3874527952769133,0.33,0.07643094557954021,20,20
xtts,voicing_transition_rate_hz,1.715033537530212,1.0998407283133633,0.32,0.08503144057701173,20,20
xtts,f0_mean_hz,243.91209514021577,302.9604147284023,-0.2932330827067669,0.16079663075908746,19,14
xtts,spectral_cog_hz,1915.6469555316228,2085.975012251687,-0.18,0.33691523838231996,20,20
xtts,voiced_fraction,0.23914917976160108,0.189501250199361,0.17,0.3635784119673784,20,20
xtts,bout_duration_s,3.3031750000000004,3.69065,-0.14,0.4569506196695641,20,20
xtts,voiced_burst_mean_s,0.2836491228070176,0.3089047619047619,-0.10902255639097744,0.6097188919857939,19,14
xtts,inter_onset_cv,0.5463121792198463,0.5224353489083218,0.08,0.6750141566504884,20,20
xtts,f0_std_hz,32.67439399088439,36.76278960511951,-0.09022556390977443,0.6752907495128153,19,14
xtts,f0_range_hz,118.77547714085648,125.35176177050722,-0.05263157894736842,0.8128364831578699,19,14
xtts,spectral_cog_std_hz,650.9049793771127,668.8144593580322,-0.02,0.9245727283322236,20,20
