layer,d_laugh_speech,d_bark_speech,d_laugh_bark,within_laugh,within_speech,probe_laugh_vs_speech_auc
L9,0.217,0.204,0.041,0.134,0.048,1.0
L12,0.277,0.23,0.049,0.148,0.038,1.0
