comparison,feature,n_laugh,n_speech,mean_laugh,mean_speech,median_laugh,median_speech,mannwhitney_u,p_value,rank_biserial_laugh_gt_speech
laugh-vs_minus_speech-asv-bona,C_layer12,300,300,-177.87989756132603,-175.55258079541372,-178.96868839617477,-179.5603125873888,44733.0,0.9001081367752426,-0.005933333333333346
laugh-vs_minus_speech-asv-bona,T_layer9,300,300,0.8017251346675144,0.8313094810102819,0.8010341087067435,0.8362698737573928,23661.0,9.122337054782996e-24,-0.47419999999999995
laugh-vs_minus_speech-asv-bona,mean_cos_dist_layer12,300,300,0.1804105146796856,0.1742252507887058,0.18012345300802163,0.17588886408900653,50387.0,0.01117727615842661,0.1197111111111111
laugh-vs_minus_speech-asv-bona,n_frames,300,300,211.17,211.17,190.5,190.5,45000.0,1.0,0.0
