attack,pos_int,sd_int,pos_lda,pos_mlaad,P1,P2,P3,P4,hard_actual
A07,22.57357406616211,10.418713336120772,7.829877853393555,-1.844205379486084,-0.7224460981194356,-0.8996214311663957,0.09225297897661278,1.0271497454278344,0.21758333333333335
A08,23.716516494750977,12.121227305020803,10.900459289550781,-1.7377300262451172,-0.837001158481504,0.31424012692456027,-0.43358857907555304,1.0040031671004837,0.23377083333333334
A09,20.034459114074707,10.025953252516816,13.947614192962646,5.486764907836914,-0.4679551812307142,-0.9515885120711314,-0.9554183091613525,-0.5665230887630136,0.3109375
A10,23.130077362060547,9.313875891780924,3.9453773498535156,-3.750861644744873,-0.7782234208075475,-1.8174676992849363,0.7574793667164641,1.441635983264203,0.29489583333333336
A11,31.70524024963379,10.112096842884867,9.194881439208984,-5.390897750854492,-1.6376965470378442,-2.054114818790045,-0.14150587980495438,1.7981619118876921,0.45225000000000004
A12,19.889636039733887,11.000052114610837,10.297789573669434,3.3166067600250244,-0.4534398254192968,-0.17701530060645393,-0.3303805095359582,-0.09475442097201901,0.2998125
A13,17.04426383972168,11.448332944237901,17.846389770507812,3.660220146179199,-0.1682532963590485,0.45795026973546304,-1.623089324185071,-0.1694522164228043,0.11468750000000005
A14,16.781448364257812,10.218860168525458,13.587500095367432,2.896467924118042,-0.14191177477163103,-0.4750260745077288,-0.8937482437052799,-0.0034208289465049416,0.2573958333333334
A15,13.706379890441895,9.148858495097558,11.227241516113281,4.111688137054443,0.16629679796496713,-1.0017052211785191,-0.48955051290865464,-0.2675964244014907,0.2666041666666667
A16,13.577853679656982,9.800855686359453,9.757210731506348,4.364966869354248,0.1791787485044634,-0.4800909372317461,-0.23780559285541666,-0.3226564532004739,0.18814583333333337
A17,-2.755613923072815,10.729233911244064,1.8788299560546875,9.414306640625,1.8162527780885516,1.881366612649351,1.1113786277970539,-1.420327744815011,0.3416875000000001
A18,-0.8633261919021606,9.913883626573572,3.8621978759765625,9.635103225708008,1.6265921881546455,1.0555145506910026,0.7717239731699426,-1.4683265097448563,0.49366666666666664
A19,1.2117924094200134,14.143238991206655,-5.4838714599609375,7.28708553314209,1.418606789514394,4.147558434836589,2.3722520045721684,-0.9578931204140405,0.5454375
