attack,hard_s1,hard_s3,hard_s7,hard,s_along,s_orth,ve12,ve9,rog12,vmean12,rms
A07,0.002230392156862826,0.0026470588235294468,0.002965686274509771,0.002614379084967348,16.03024673461914,26.763946533203125,2.741228778853799,2.726363385786991,10.743631362915039,7.6317644119262695,0.14692274
A08,0.006153846153846065,0.003822115384615299,0.00569711538461537,0.005224358974358911,14.725115299224854,24.202168464660645,2.7636552601124444,2.7524894195696366,10.903779983520508,8.166228294372559,0.14582463
A09,0.001830985915493022,0.0016901408450704647,0.0034859154929577363,0.002335680751173741,15.628731727600098,24.9867000579834,2.798878656464707,2.775448331919406,10.79091739654541,7.66838264465332,0.16949277
A10,0.01854508196721305,0.0172745901639344,0.01239754098360657,0.016072404371584675,15.960539817810059,27.450218200683594,2.72055147313073,2.7332867476505713,10.701210021972656,7.5834879875183105,0.1457483
A11,0.011507936507936578,0.009027777777777857,0.0107936507936508,0.010443121693121745,16.18416976928711,26.728925704956055,2.768503877548704,2.7302510246540774,10.735716819763184,7.731803894042969,0.16002956
A12,0.0029882812500000577,0.0028710937499999423,0.0037890624999999956,0.0032161458333333317,17.382617950439453,25.552067756652832,2.7690629833303086,2.7204283662681656,10.812139511108398,7.301819562911987,0.120622
A13,0.00021428571428561138,0.0002142857142857224,0.000535714285714306,0.0003214285714285466,18.263090133666992,26.217119216918945,2.756306632881752,2.77927583215358,10.664111614227295,7.2477126121521,0.15024501
A14,0.017217741935483977,0.015645161290322562,0.010362903225806464,0.014408602150537667,13.306730270385742,25.400511741638184,2.784789470793149,2.7498726624137833,10.837867736816406,7.39736270904541,0.1253815
A15,0.007961956521739144,0.006249999999999978,0.007635869565217446,0.007282608695652189,12.412252426147461,24.320612907409668,2.806679180447981,2.762874381875413,10.914079666137695,7.55899977684021,0.13345954
A16,0.013764705882352901,0.014926470588235263,0.0073088235294118675,0.01200000000000001,14.434820175170898,25.425098419189453,2.7294234590439346,2.7304666671461657,10.903182983398438,7.358904838562012,0.12581128
A17,0.006249999999999978,0.01761792452830191,0.011910377358490543,0.01192610062893081,3.1923632621765137,26.33244514465332,2.7991118437292397,2.7690227126329003,11.132800102233887,6.963619709014893,0.13049778
A18,0.059541666666666715,0.1052291666666667,0.08087500000000003,0.08188194444444448,2.191855788230896,27.959196090698242,2.815027840532069,2.763269562334424,10.93277645111084,6.9288716316223145,0.10298687
A19,0.10477822580645157,0.17397177419354837,0.10000000000000009,0.12625,1.857993245124817,25.776702880859375,2.8070299851735863,2.75651762038558,10.967406272888184,6.888713598251343,0.11214641
