system_id,phoneme_var_mean,phoneme_var_median,n_segs_mean
Cartesia.ai (Sonic-3),0.46710470047864044,0.45524969696998596,42.90909090909091
Chatterbox,0.3954201638698578,0.388455331325531,43.92857142857143
DeepGram,0.45161611835161847,0.46476784348487854,44.0
Edge-TTS,0.4062006738450792,0.41841456294059753,37.0
FireRedTTS-2.0,0.3929243627935648,0.39356347918510437,38.0
FishTTS,0.380366188287735,0.3800823986530304,35.666666666666664
Higgs-Audio-V2,0.4044423712336499,0.4007989466190338,42.0
Index-TTS-1.5,0.38384838501612345,0.38349708914756775,38.93333333333333
Index-TTS-2.0,0.41652724497458515,0.41929468512535095,46.64705882352941
Indri-TTS-0.1,0.3694465458393097,0.3709050863981247,46.357142857142854
Kani-TTS-370M,0.4001413746313615,0.40890148282051086,41.0
Kitten-TTS-Nano-0.1,0.3710185629980905,0.376808762550354,43.0
Kitten-TTS-Nano-0.2,0.3645247761160135,0.36258555948734283,34.875
Kyutai-TTS,0.4145626692395461,0.4119521677494049,41.78947368421053
Llasa-1B-Multilingual,0.41890909150242805,0.4103931039571762,36.6875
Llasa-8B,0.4352651271555159,0.4307931214570999,37.333333333333336
Mars5,0.3915007468312979,0.3954682797193527,36.0
Marvis-TTS,0.489946174621582,0.48636582493782043,51.2
MatchaTTS,0.4186204314231873,0.4218228608369827,47.7
Maya1 TTS,0.4469233575989218,0.45608630776405334,39.588235294117645
MegaTTS3,0.4230009743145534,0.4251304864883423,37.42857142857143
MeloTTS,0.3918129503726959,0.3994441032409668,46.53846153846154
Metavoice-1B,0.42120674891131266,0.4576699584722519,39.285714285714285
Microsoft VibeVoice 1.5B,0.43999173091008115,0.44359704852104187,43.30769230769231
Microsoft VibeVoice Large,0.4517524084624122,0.44827690720558167,42.411764705882355
MiniCPM-o-2.6,0.4212352022528648,0.42163339257240295,37.65
Nari Dia-1.6B,0.42074008692394604,0.4369231164455414,47.72727272727273
Nari Dia2,0.3601062839681452,0.3502693176269531,47.09090909090909
NeuTTS-Air,0.41132369451224804,0.40899956226348877,40.25
OpenVoiceV2,0.4148630658785502,0.4112110137939453,45.86666666666667
Openaudio-S1-Mini,0.393301694393158,0.39550700783729553,49.84
OuteTTS,0.4198899946429513,0.42235399782657623,45.09090909090909
Qwen2.5-Omni,0.43664891592093874,0.43860040605068207,39.642857142857146
RVC,0.4092943902526583,0.4183054566383362,39.857142857142854
"Resemble.ai (April 12th, 2025)",0.4311955471833547,0.43111148476600647,40.55555555555556
Ringg Squirrel TTS v1.0,0.4540465672810872,0.4562007635831833,50.333333333333336
SoulX-Podcast,0.42291174083948135,0.4259340167045593,45.083333333333336
Spark-TTS-0.5B,0.37786414846777916,0.3807433396577835,41.4375
Step-Audio-EditX,0.4184638939120553,0.40375176072120667,42.36363636363637
Supertonic,0.4839871767908335,0.4887154698371887,43.0
Veena,0.44805293902754784,0.4432476758956909,46.0
VoxCPM-0.5B,0.40283641867015674,0.40448006987571716,44.82608695652174
VoxCPM-1.5,0.39902108907699585,0.4019971340894699,43.42857142857143
Voxtream,0.3668968015246921,0.370382159948349,41.05555555555556
WhisperSpeech,0.3964052214508965,0.39405831694602966,39.42857142857143
ZipVoice,0.41924067835013074,0.4145185053348541,34.916666666666664
e2-tts,0.3730995748192072,0.3715660870075226,48.5
f5-tts,0.3951031074804418,0.39952030777931213,51.05882352941177
facebook_mms-tts-eng,0.4217733641465505,0.4270484447479248,47.05555555555556
griffin_lim,0.35594255328178404,0.3493218421936035,45.86666666666667
kokoro,0.4321568090664713,0.42656269669532776,43.10526315789474
microsoft_speecht5_tts,0.343831700583299,0.37519432604312897,37.5
minimax_speech-02-turbo,0.4329390525817871,0.4358900487422943,44.81818181818182
minimax_speech-2.6-hd,0.409643763055404,0.44112102687358856,41.166666666666664
optispeech,0.44708372013909475,0.43949922919273376,44.714285714285715
orpheus-tts-0.1-finetune,0.4444149217822335,0.4397292137145996,42.0
parler_tts_large_v1,0.4358646592923573,0.43121500313282013,53.642857142857146
parler_tts_mini_v0.1,0.4414922542431775,0.4423973560333252,49.35294117647059
parler_tts_mini_v1,0.4379349996646245,0.46151840686798096,52.333333333333336
sesame_csm,0.34541497551477873,0.36177489161491394,40.61538461538461
suno_bark,0.3574444374867848,0.3833046853542328,31.857142857142858
suno_bark-small,0.3492382943098034,0.36943863332271576,32.214285714285715
vixTTS,0.3816476594656706,0.3820645362138748,42.5
