system_id,n_nodes_mean,n_edges_mean,edge_density_mean,avg_degree_mean
Cartesia.ai (Sonic-3),42.90909090909091,374.09090909090907,0.21861396157546287,8.625195888857123
Chatterbox,43.92857142857143,384.2857142857143,0.20584951357693643,8.731179586443831
DeepGram,44.0,385.0,0.20569995637631586,8.73181852962312
Edge-TTS,37.0,315.6666666666667,0.2580245190143011,7.937412518343988
FireRedTTS-2.0,38.0,325.0,0.24139516561778807,8.457300059019163
FishTTS,35.666666666666664,301.6666666666667,0.253584437277494,8.363072021199732
Higgs-Audio-V2,42.0,365.0,0.22125542002072168,8.6093487057962
Index-TTS-1.5,38.93333333333333,334.3333333333333,0.23088087015257694,8.546520169716388
Index-TTS-2.0,46.64705882352941,411.47058823529414,0.1968599858926134,8.7917310386092
Indri-TTS-0.1,46.357142857142854,408.57142857142856,0.1992644139380217,8.774231059854179
Kani-TTS-370M,41.0,355.0,0.22144132573370123,8.616831573522164
Kitten-TTS-Nano-0.1,43.0,375.0,0.21179182791387755,8.685391003008844
Kitten-TTS-Nano-0.2,34.875,293.75,0.25617769630016973,8.349029689436668
Kyutai-TTS,41.78947368421053,362.89473684210526,0.21752854674342037,8.644876431356398
Llasa-1B-Multilingual,36.6875,311.875,0.25163767963397443,8.34107668505466
Llasa-8B,37.333333333333336,318.5,0.24448487656827833,8.278549329274965
Mars5,36.0,305.0,0.25223178484364295,8.373953063484016
Marvis-TTS,51.2,457.0,0.1801926970002356,8.907431241790245
MatchaTTS,47.7,422.0,0.20025133763296638,8.749616408924778
Maya1 TTS,39.588235294117645,340.94117647058823,0.2432350058979375,8.282217149667744
MegaTTS3,37.42857142857143,319.2857142857143,0.23968055019049178,8.479574164208087
MeloTTS,46.53846153846154,410.38461538461536,0.19638218513347946,8.795873032999221
Metavoice-1B,42.23076923076923,367.3076923076923,0.21285451168539965,8.681806774008596
Microsoft VibeVoice 1.5B,43.30769230769231,378.0769230769231,0.20959722474320136,8.703278695648587
Microsoft VibeVoice Large,42.411764705882355,369.11764705882354,0.21327525977581085,8.67689733260197
MiniCPM-o-2.6,37.65,321.5,0.24717817963392213,8.394433176494372
Nari Dia-1.6B,47.72727272727273,424.1818181818182,0.20586752327867422,8.257826616928817
Nari Dia2,47.09090909090909,415.90909090909093,0.19941456257351253,8.769595345199974
NeuTTS-Air,40.25,347.5,0.22539166932669658,8.585580232315337
OpenVoiceV2,45.86666666666667,403.6666666666667,0.1987668211649528,8.779352313183402
Openaudio-S1-Mini,49.84,443.4,0.18518656216420926,8.872427186132827
OuteTTS,45.09090909090909,395.90909090909093,0.2058590394000877,8.723415467956745
Qwen2.5-Omni,39.642857142857146,341.42857142857144,0.22707934908471591,8.572408375803727
RVC,39.857142857142854,343.57142857142856,0.22540710112803675,8.588826315563702
"Resemble.ai (April 12th, 2025)",40.55555555555556,350.55555555555554,0.2351806271253008,8.484858567754511
Ringg Squirrel TTS v1.0,50.333333333333336,448.3333333333333,0.18316741877132578,8.887204079421542
SoulX-Podcast,45.083333333333336,395.8333333333333,0.20172657819388637,8.759309678848657
Spark-TTS-0.5B,41.4375,359.375,0.21905142239556324,8.63429107306893
Step-Audio-EditX,42.36363636363637,368.6363636363636,0.21383643494534316,8.670660580414584
Supertonic,43.0,375.0,0.2106399851122184,8.695775200498023
Veena,46.0,405.0,0.1978252808090762,8.787259306293002
VoxCPM-0.5B,44.82608695652174,393.2608695652174,0.20955635794612673,8.673878318709928
VoxCPM-1.5,43.42857142857143,379.2857142857143,0.2145498529253517,8.659278947779693
Voxtream,41.05555555555556,355.55555555555554,0.22091110418074514,8.618346307340364
WhisperSpeech,39.42857142857143,339.2857142857143,0.22908820025854496,8.55907223242853
ZipVoice,34.916666666666664,294.6666666666667,0.25984790754381315,8.03786502793589
e2-tts,48.5,430.0,0.18896165046780677,8.847894446557017
f5-tts,51.05882352941177,455.5882352941176,0.18081281205486918,8.903311713727414
facebook_mms-tts-eng,47.05555555555556,415.55555555555554,0.19640426904898645,8.793125838586818
griffin_lim,45.86666666666667,403.6666666666667,0.19903952858235874,8.77794059649381
kokoro,43.10526315789474,376.05263157894734,0.2135432862410848,8.666687616823017
microsoft_speecht5_tts,40.81818181818182,353.1818181818182,0.231416589172009,8.517108376120005
minimax_speech-02-turbo,44.81818181818182,393.1818181818182,0.21564477613640093,8.618207056012306
minimax_speech-2.6-hd,41.166666666666664,356.6666666666667,0.23280667846583925,8.486693871549416
optispeech,44.714285714285715,392.14285714285717,0.22687567530068084,8.271961993659703
orpheus-tts-0.1-finetune,42.0,365.0,0.21832597571053647,8.634991571915535
parler_tts_large_v1,53.642857142857146,481.42857142857144,0.1726822763465256,8.95820250572441
parler_tts_mini_v0.1,49.35294117647059,438.52941176470586,0.19361535858712656,8.787277589305223
parler_tts_mini_v1,52.333333333333336,468.3333333333333,0.17560596356245908,8.939397240377632
sesame_csm,40.61538461538461,351.15384615384613,0.23092870659409342,8.532811446743768
suno_bark,31.857142857142858,265.57142857142856,0.28454781598044276,7.709044959267129
suno_bark-small,32.214285714285715,269.14285714285717,0.29155060293592167,7.60878195806379
vixTTS,42.5,370.0,0.2225375636897633,8.592219037936854
