feature,feature_label,generator,n_real,n_synthetic,cliffs_delta,delta_ci_lo,delta_ci_hi,boot_se,p_raw,p_raw_ref,q_bh,bold_in_paper_p05,survives_fdr_q05,survives_fdr_q10
spectral_cog_std_hz,Spectral CoG std.,bark_laughter_token,20,20,-0.11,-0.455,0.255,0.1838,0.5608516966002302,0.5608516966002302,0.686757179510486,False,False,False
spectral_cog_std_hz,Spectral CoG std.,parler_tts,20,20,0.065,-0.315,0.445,0.1919,0.7352681529274933,0.7352681529274933,0.7999182702263735,False,False,False
spectral_cog_std_hz,Spectral CoG std.,xtts,20,20,-0.02,-0.385,0.355,0.1888,0.9245727283322236,0.9245727283322236,0.956454546550576,False,False,False
unvoiced_run_mean_s,Unvoiced-run dur.,audioldm2,20,20,0.07,-0.315,0.44,0.193,0.7149670956879366,0.7149798814655983,0.7944220905173315,False,False,False
unvoiced_run_mean_s,Unvoiced-run dur.,bark_laughs_inline,20,20,0.76,0.53,0.925,0.1011,4.1588477593097356e-05,4.162302936917381e-05,0.00035676882316434694,True,True,True
unvoiced_run_mean_s,Unvoiced-run dur.,bark_laughter_token,20,20,0.42,0.07,0.745,0.1732,0.02389655142331567,0.0239031458675584,0.06519039782061382,True,False,True
unvoiced_run_mean_s,Unvoiced-run dur.,parler_tts,20,20,0.685,0.39,0.905,0.1322,0.0002220512985892359,0.0002222026201368,0.0014813508009120001,True,True,True
unvoiced_run_mean_s,Unvoiced-run dur.,xtts,20,20,-0.3675,-0.6775,0.0001,0.1729,0.04827559088566725,0.0482861076766816,0.120715269191704,True,False,False
voiced_burst_mean_s,Voiced-burst dur.,audioldm2,19,20,0.0605,-0.3158,0.437,0.1926,0.7572419561021978,0.7465903855446152,0.7999182702263735,False,False,False
voiced_burst_mean_s,Voiced-burst dur.,bark_laughs_inline,19,20,-0.6105,-0.8632,-0.2947,0.1445,0.0011706886525613576,0.0012305112342039,0.005679282619402616,True,True,True
voiced_burst_mean_s,Voiced-burst dur.,bark_laughter_token,19,20,-0.5368,-0.808,-0.2263,0.1505,0.00433793673732336,0.0043379367373233,0.013698747591547263,True,True,True
voiced_burst_mean_s,Voiced-burst dur.,parler_tts,19,19,-0.1302,-0.4904,0.2493,0.1894,0.5017514655672646,0.5017514655672646,0.6478791037811643,False,False,False
voiced_burst_mean_s,Voiced-burst dur.,xtts,19,14,-0.109,-0.515,0.3008,0.2077,0.6097188919857939,0.6097188919857939,0.7316626703829526,False,False,False
voiced_fraction,Voiced fraction,audioldm2,20,20,-0.085,-0.465,0.305,0.1944,0.6553463181427222,0.6553463181427222,0.7644800937880929,False,False,False
voiced_fraction,Voiced fraction,bark_laughs_inline,20,20,-0.87,-0.985,-0.7,0.0733,2.68976868945904e-06,2.68976868945904e-06,5.37953737891808e-05,True,True,True
voiced_fraction,Voiced fraction,bark_laughter_token,20,20,-0.71,-0.92,-0.44,0.1243,0.00012940533589153548,0.0001294053358915,0.00097054001918625,True,True,True
voiced_fraction,Voiced fraction,parler_tts,20,20,-0.6275,-0.895,-0.3249,0.1467,0.0007211229658270127,0.000721122965827,0.0043267377949620005,True,True,True
voiced_fraction,Voiced fraction,xtts,20,20,0.17,-0.195,0.51,0.1836,0.3635784119673784,0.3635784119673784,0.522065285577714,False,False,False
voicing_transition_rate_hz,Voicing trans. rate,audioldm2,20,20,-0.165,-0.53,0.2,0.1865,0.37930957872492843,0.3793095787249284,0.5292691796161791,False,False,False
voicing_transition_rate_hz,Voicing trans. rate,bark_laughs_inline,20,20,-0.56,-0.825,-0.225,0.151,0.002560615287144587,0.0025606152871445,0.009602307326791876,True,True,True
voicing_transition_rate_hz,Voicing trans. rate,bark_laughter_token,20,20,-0.175,-0.535,0.185,0.1845,0.3507022236669548,0.3507022236669548,0.522065285577714,False,False,False
voicing_transition_rate_hz,Voicing trans. rate,parler_tts,20,20,-0.6025,-0.855,-0.2899,0.1452,0.0011697186684680248,0.001169718668468,0.005679282619402616,True,True,True
voicing_transition_rate_hz,Voicing trans. rate,xtts,20,20,0.32,-0.045,0.635,0.176,0.08503144057701173,0.0850314405770117,0.18221022980788223,False,False,False
