layer,n_base_matched,n_aug,pooled_s_along_mean_base,pooled_s_along_mean_aug,pooled_s_along_median_base,pooled_s_along_median_aug,pooled_sd_along_base,pooled_sd_along_aug,pooled_s_orth_mean_base,pooled_s_orth_mean_aug,delta_pooled_s_along_mean,delta_pooled_sd_along,delta_pooled_s_orth_mean,ci95_s_along_mean_base,ci95_s_along_mean_aug,ci95_sd_along_base,ci95_sd_along_aug,n_paired_utts_bootstrap,ci95_delta_s_along_mean_paired,ci95_delta_sd_along_paired,utt_wilcoxon_stat_along,utt_wilcoxon_p_along,wilcoxon_s_along_mean_all_p,wilcoxon_sd_along_all_p,wilcoxon_s_along_mean_ok_p,wilcoxon_sd_along_ok_p,loso_s_along_p,loso_sd_along_p
12,105,105,20.08683204650879,26.217676162719727,20.296634674072266,27.546924591064453,10.385784149169922,13.92846965789795,31.53361701965332,79.10813903808594,6.1308441162109375,3.5426855087280273,47.57452201843262,"(18.10903916358948, 22.03371720314026)","(23.589315271377565, 28.871844244003295)","(8.764350080490113, 11.798421406745911)","(12.295992803573608, 15.328541827201843)",105,"(2.776465839147568, 9.476339650154113)","(1.3552765130996705, 5.661961007118225)",1774.0,0.001264210011260933,0.068115234375,0.000244140625,0.109375,0.015625,0.008056640625,0.00048828125
9,105,105,22.06385612487793,9.05753231048584,26.71832275390625,11.155454635620117,15.692086219787598,14.117539405822754,23.672748565673828,60.45380401611328,-13.00632381439209,-1.5745468139648438,36.78105545043945,"(19.010049390792847, 25.076708793640137)","(6.330014419555664, 11.731177735328671)","(13.145791149139404, 17.771151781082153)","(12.069101405143737, 15.968789839744566)",105,"(-17.036845874786376, -8.874502825737002)","(-4.619592547416687, 1.497741627693176)",1092.0,6.509568774803566e-08,0.00341796875,0.001708984375,0.21875,0.109375,0.00341796875,0.001708984375
0,105,105,18.91004180908203,8.595367431640625,21.890121459960938,9.421079635620117,11.96826171875,15.00843620300293,31.243309020996094,53.234222412109375,-10.314674377441406,3.0401744842529297,21.99091339111328,"(16.570477199554443, 21.190477561950683)","(5.670577788352967, 11.478333401679992)","(10.183084774017335, 13.440342140197751)","(13.02540144920349, 16.78217706680298)",105,"(-13.72970221042633, -6.947563672065737)","(0.5334258079528809, 5.5519078969955435)",1168.0,2.4530687696777857e-07,0.00341796875,0.00048828125,0.078125,0.03125,0.004638671875,0.000732421875
