system,n_utts_base,s_along_mean_base,s_along_median_base,sd_along_base,s_orth_base,n_utts_aug,s_along_mean_aug,s_along_median_aug,sd_along_aug,s_orth_aug,delta_s_along_mean,delta_s_along_median,delta_sd_along,delta_s_orth,thin
A07,8,28.012588500976562,28.154644012451172,3.763716459274292,25.078937530517578,8,22.049983978271484,20.12156867980957,13.271596908569336,58.69892120361328,-5.962604522705078,-8.033075332641602,9.507880449295044,33.6199836730957,False
A08,5,23.748594284057617,28.173744201660156,6.334115505218506,27.486242294311523,5,22.032690048217773,24.29415512084961,13.792068481445312,52.51286697387695,-1.7159042358398438,-3.879589080810547,7.457952976226807,25.02662467956543,True
A09,7,23.318973541259766,20.296634674072266,4.616243362426758,25.628616333007812,7,22.412273406982422,27.546924591064453,18.445098876953125,78.95439910888672,-0.9067001342773438,7.2502899169921875,13.828855514526367,53.325782775878906,True
A10,6,25.485815048217773,23.593551635742188,5.703946590423584,29.234596252441406,6,23.436338424682617,20.725614547729492,10.21182632446289,78.58183288574219,-2.0494766235351562,-2.8679370880126953,4.507879734039307,49.34723663330078,True
A11,8,24.78070831298828,23.86830711364746,6.199555397033691,30.505056381225586,8,28.816776275634766,29.735994338989258,7.862378120422363,82.58358764648438,4.036067962646484,5.867687225341797,1.6628227233886719,52.07853126525879,False
A12,6,30.919340133666992,29.3167724609375,6.627309799194336,30.49553871154785,6,35.46542739868164,36.56714630126953,9.94765567779541,96.869873046875,4.546087265014648,7.250373840332031,3.320345878601074,66.37433433532715,True
A13,8,30.91910171508789,30.689029693603516,6.54752779006958,31.708478927612305,8,33.9713134765625,31.48472023010254,8.22884750366211,100.10015869140625,3.0522117614746094,0.7956905364990234,1.6813197135925293,68.39167976379395,False
A14,11,19.68333625793457,19.370994567871094,2.7878642082214355,30.1851863861084,11,21.495460510253906,19.818798065185547,13.653834342956543,73.90487670898438,1.812124252319336,0.4478034973144531,10.865970134735107,43.71969032287598,False
A15,7,16.599538803100586,15.525041580200195,4.105269908905029,28.16793441772461,7,22.665454864501953,20.442113876342773,14.458670616149902,57.76713943481445,6.065916061401367,4.917072296142578,10.353400707244873,29.599205017089844,True
A16,7,21.783151626586914,20.05327606201172,9.733030319213867,31.123353958129883,7,22.565509796142578,18.503467559814453,15.242716789245605,69.90348815917969,0.7823581695556641,-1.5498085021972656,5.509686470031738,38.780134201049805,True
A17,13,12.321508407592773,12.202604293823242,9.363999366760254,44.490177154541016,13,30.650362014770508,35.17473602294922,11.936585426330566,100.85072326660156,18.328853607177734,22.972131729125977,2.5725860595703125,56.36054611206055,False
A18,11,9.389931678771973,12.308394432067871,10.146944999694824,37.39485168457031,11,25.591808319091797,27.611167907714844,16.131580352783203,79.27882385253906,16.201876640319824,15.302773475646973,5.984635353088379,41.88397216796875,False
A19,8,8.793380737304688,7.853842735290527,10.048988342285156,25.08576011657715,8,27.582490921020508,26.67964744567871,13.198177337646484,77.19542694091797,18.78911018371582,18.825804710388184,3.149188995361328,52.10966682434082,False
