system,C_neg_rog_L12,T_vel_entropy_L9,EER_robust_goat,n_spoof,rog_L12_mean,vel_L9_mean,n_wavlm_utts
A01,-10.857415713236003,2.7526301074874775,0.03792415169660679,167,10.857415713236003,2.7526301074874775,167
A02,-10.939320290160037,2.8011525430379827,0.10179640718562873,167,10.939320290160037,2.8011525430379827,167
A03,-10.812633902726773,2.7671755875616997,0.11976047904191614,167,10.812633902726773,2.7671755875616997,167
A04,-10.669554898838797,2.712460780633179,0.06736526946107782,167,10.669554898838797,2.712460780633179,167
A05,-10.95344647675931,2.766589904950107,0.09381237524950098,167,10.95344647675931,2.766589904950107,167
A06,-10.927305541352597,2.7803590814034433,0.2569860279441118,167,10.927305541352597,2.7803590814034433,167
