component,eigenvalue,variance_explained,cumulative_variance,r_with_residual,p_residual,r_with_eer,p_eer,loading_S,loading_C,loading_T,loading_A,loading_E
PC1,1.893523961897487,0.37269360519887085,0.37269360519887085,-0.2856173006986755,0.02326144392305054,-0.5269019851558969,9.153588909812878e-06,0.5740897605502077,-0.4168367416563203,-0.3463379286544167,0.14580716843961242,-0.596203309655136
PC2,1.0577810034143733,0.20819816575140065,0.5808917709502714,-0.16544050963186654,0.1950451033461004,-0.1879664301451707,0.14014634268818868,0.11163033865692412,-0.3702218306131432,0.3745169376165238,-0.8408202270674288,-0.056858357533525826
PC3,0.8668924436102594,0.1706264492185274,0.7515182201687989,0.23799075116925802,0.060346776685136536,0.15774157218295692,0.2169383723657906,0.12951594011471654,-0.09426642402706864,0.8550787618366843,0.45278082156429406,-0.1953696528040012
PC4,0.7903450817368184,0.15555998434185012,0.907078204510649,0.18864943572015475,0.13868517935506747,0.033584735750410495,0.7938563795571809,0.4400830544985297,0.8186201494967449,0.09251089276707303,-0.24311192347399416,-0.26177525353895553
PC5,0.47210267063137945,0.09292179548935096,1.0,-0.174327681959203,0.1717933689129799,-0.0753107561588625,0.5574559047782424,-0.6689634823532525,0.10078600637921248,-0.008315551033500535,-0.08745133317586795,-0.7311724530729471
