factor,raw_r_resid,raw_rho_resid,partial_r_resid,residualised_r,raw_r2_resid,unique_r2_resid,shapley_resid,shapley_loo_resid,shapley_loo_se,perm_pval,vif,raw_r2_eer,unique_r2_eer,shapley_eer,loo_unique_resid,loo_unique_eer
S,-0.06149716594954084,-0.021457373271889398,0.15171877530654357,0.13455486990136645,0.003781901419825373,0.018105013014173554,0.008305042729178851,0.008540844977372166,0.0002234951644187947,0.288,1.4206988674215912,0.1354883959404387,0.011779635365054775,0.06217775810184731,-0.012751823311652144,-0.012941570134398117
C,0.3285148693980386,0.29257872503840243,0.28176823935484135,0.2574294478995497,0.1079220194156103,0.06626992064586656,0.0845431273162979,0.08460605075617465,0.0010806231717548677,0.037,1.1187705003453134,0.14149443148312668,0.04854098863869427,0.0853483455143629,0.0557453215879703,0.024449442679843503
T,0.2761608467214349,0.32958909370199696,0.270024941080238,0.24583685265740476,0.07626481326189982,0.060435758124498085,0.06565259278519801,0.06581957150741603,0.0009005867948699688,0.043,1.0672907676244123,0.09304657183699294,0.04337363726562171,0.061396098713576035,0.037350061896491815,0.01732927335882961
A,0.15455303026837008,0.2244197490025508,0.2125209885974537,0.19065181510866736,0.02388663916513567,0.036348114604229376,0.031006428643343416,0.03136409443218373,0.0008541868213881722,0.132,1.0233006194113605,0.014312760514895717,0.030392673479088916,0.023913078212787597,-0.010451539866583093,-0.008036732271323954
E,0.24243582876866887,0.33213325652841785,0.19747068540909843,0.17658059618572117,0.058775131070751274,0.03118070694930475,0.04205896114854048,0.042346636873509064,0.0006701361188902533,0.148,1.477372800549445,0.19452451597968345,0.0523310137887395,0.11180384834356583,-0.006924522339240902,0.02833950874442792
