system,gini,d_in_mean,d_in_max
-,0.42420636780890875,0.6042142565690288,4.9644702015984175
A01,0.23843918692669486,0.3661948259138795,1.6736059816587439
A02,0.3809423734511752,0.541955886078349,3.6743790655940645
A03,0.23841605704297808,0.39797753627079013,1.7460861589811552
A04,0.2673213772919869,0.3910067087897487,1.748532946494332
A05,0.5627336445905688,0.7666828710877844,5.688407160740757
A06,0.5179734742661006,0.6386712239490167,4.823004176441765
