system,top5_overlap,top10_overlap,spearman_rho,spearman_p
A01,1,3,0.8866101736050142,1.5324343068742089e-30
A02,3,7,0.8722074081833822,1.9152884975232393e-28
A03,2,5,0.8677535549946941,7.580212764115075e-28
A04,2,3,0.8518017176264163,7.145973971160974e-26
A05,3,4,0.5081672719545933,4.3222213106256777e-07
A06,3,6,0.7298686335576167,7.215142977031075e-16
