system,p_family_s1,p_family_s2,p_family_s3,n_sig_s3,cat_s1s2,cat_s3,cat_flip
A01,0.0001,9.999000099990002e-05,0.000999000999000999,0,sig,sig,False
A02,0.45555,0.565943405659434,0.6643356643356644,0,null,null,False
A03,0.0025,0.0034996500349965005,0.003996003996003996,0,sig,sig,False
A04,0.0082,0.009099090090990901,0.008991008991008992,0,sig,sig,False
A05,0.30577,0.32496750324967505,0.3626373626373626,0,null,null,False
A06,0.51565,0.5821417858214178,0.5734265734265734,0,null,null,False
