epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.5130748152732849,0.7190017104148865,0.0,0.013859555125236511,2.031893014907837,0.3268710672855377,2.038823366165161
0,516,0.8051257133483887,0.888655424118042,0.019317207857966423,0.0151133481413126,0.4184810221195221,0.1940414011478424,0.43569639325141907,,,,,,,
1,1033,,,,,,,,0.6208295822143555,0.7637754678726196,0.0,0.01886029541492462,1.3894270658493042,0.30027052760124207,1.3988574743270874
1,1033,0.8185686469078064,0.9007728099822998,0.01650426536798477,0.012698858976364136,0.3958311975002289,0.1825212687253952,0.4104323983192444,,,,,,,
2,1550,,,,,,,,0.6541929841041565,0.7656130790710449,0.0,0.008689019829034805,1.1293798685073853,0.3029756546020508,1.133724570274353
2,1550,0.8296905159950256,0.9098294377326965,0.014060425572097301,0.009854632429778576,0.37706127762794495,0.1699535995721817,0.389018714427948,,,,,,,
3,2067,,,,,,,,0.5991884469985962,0.7913944721221924,0.0,0.0038557371590286493,1.499239206314087,0.2770062983036041,1.5011675357818604
3,2067,0.8350096940994263,0.9182395935058594,0.011508410796523094,0.0058817374520003796,0.3615589737892151,0.16424840688705444,0.3702542185783386,,,,,,,
4,2584,,,,,,,,0.6235347390174866,0.8026236295700073,0.0,0.0031786360777914524,1.5481585264205933,0.2675834000110626,1.5497480630874634
4,2584,0.8435202836990356,0.9229500889778137,0.010023873299360275,0.006379034835845232,0.3506222665309906,0.15883149206638336,0.3588237762451172,,,,,,,
