epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-div_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.5130748152732849,0.7348446846008301,0.0,0.011448678560554981,1.6994181871414185,0.33746618032455444,1.7051432132720947
0,516,0.7977756261825562,0.8782604932785034,0.015317751094698906,0.01430035661906004,0.43494105339050293,-15.328145980834961,0.2027471512556076,0.29646873474121094,,,,,,,
1,1033,,,,,,,,,0.5229936838150024,0.777463436126709,0.0,0.008932114578783512,1.4295216798782349,0.29923999309539795,1.433988094329834
1,1033,0.8047388792037964,0.8860849142074585,0.015494724735617638,0.012909900397062302,0.42297935485839844,-15.323034286499023,0.19685687124729156,0.2839510440826416,,,,,,,
2,1550,,,,,,,,,0.5870153307914734,0.7821630835533142,0.0,0.018812039867043495,1.2233929634094238,0.29425910115242004,1.2327990531921387
2,1550,0.8127659559249878,0.8966296911239624,0.013988952152431011,0.009488139301538467,0.40254533290863037,-15.338725090026855,0.19168278574943542,0.26089683175086975,,,,,,,
3,2067,,,,,,,,,0.595581591129303,0.7927348017692566,0.0,0.01055389828979969,1.0272060632705688,0.2780282497406006,1.032482624053955
3,2067,0.8170212507247925,0.8997913002967834,0.01288552489131689,0.007936691865324974,0.396731436252594,-15.328753471374512,0.1850096732378006,0.2538553476333618,,,,,,,
4,2584,,,,,,,,,0.5689810514450073,0.7805697917938232,0.0,0.011309831403195858,1.3111759424209595,0.28818756341934204,1.3168307542800903
4,2584,0.8243713974952698,0.9038100242614746,0.01082384493201971,0.008941900916397572,0.3906446397304535,-15.313291549682617,0.1765957474708557,0.2473945915699005,,,,,,,
