epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.5243462324142456,0.7527703642845154,0.0,0.011448678560554981,1.259239673614502,0.3137962222099304,1.2649644613265991
0,516,0.7938104271888733,0.8744065761566162,0.015514226630330086,0.01430035661906004,0.4702226221561432,0.20968469977378845,0.4851298928260803,,,,,,,
1,1033,,,,,,,,0.5897204875946045,0.7600686550140381,0.0,0.008932114578783512,1.0338431596755981,0.3101893663406372,1.0383093357086182
1,1033,0.8012572526931763,0.8802632093429565,0.01602443866431713,0.012909900397062302,0.4568372070789337,0.19941972196102142,0.47130444645881653,,,,,,,
2,1550,,,,,,,,0.5865644812583923,0.7760255336761475,0.0,0.018812039867043495,1.1841437816619873,0.30147281289100647,1.1935498714447021
2,1550,0.8094777464866638,0.8904987573623657,0.01419977005571127,0.009488139301538467,0.4387136995792389,0.19310122728347778,0.4505577087402344,,,,,,,
3,2067,,,,,,,,0.5861136317253113,0.7752948999404907,0.0,0.01055389828979969,0.9763347506523132,0.2977457046508789,0.9816116094589233
3,2067,0.8076402544975281,0.8929778933525085,0.013868967071175575,0.007936691865324974,0.43100929260253906,0.19252096116542816,0.44191214442253113,,,,,,,
4,2584,,,,,,,,0.6348061561584473,0.7792810797691345,0.0,0.011309831403195858,0.9212298393249512,0.29576194286346436,0.9268848299980164
4,2584,0.8140231966972351,0.896877646446228,0.011331756599247456,0.008941900916397572,0.42215919494628906,0.1840629279613495,0.43229591846466064,,,,,,,
