winner,rho_discovery,rho_confirm,p_confirm
sd_along,0.6734149054505005,0.519758064516129,0.002728675467877165
sd_along,0.6164627363737486,0.5395161290322582,0.0017350017706922764
sd_along,0.7837597330367074,0.39193548387096777,0.029211724819509337
rog_L0,0.6711902113459399,0.2024193548387097,0.27480545678838686
sd_along,0.4197997775305895,0.7225806451612904,4.427493757062001e-06
rog_L0,0.6355951056729701,0.30120967741935484,0.09963139006107524
vel_entropy_L9,0.5982202447163515,0.19153225806451615,0.3019884668012518
sd_along,0.6934371523915461,0.4540322580645162,0.010298085168880085
sd_along,0.44249165739710794,0.6572580645161291,5.8961360205279714e-05
sd_along,0.6093437152391545,0.5387096774193548,0.0017683180294158951
sd_along,0.5537263626251391,0.6096774193548388,0.0002716618685124425
twonn_id_L9,0.5719688542825361,0.26209677419354843,0.15434090113804516
vel_entropy_L9,0.6449388209121245,0.005645161290322581,0.9759558205230285
sd_along,0.5208008898776418,0.6270161290322582,0.0001602728388574267
sd_along,0.592880978865406,0.597983870967742,0.00038125302238245046
sd_along,0.6191323692992213,0.5766129032258065,0.0006855708517682637
sd_along,0.6418242491657397,0.49233870967741944,0.004900174152318256
top1_frac_L9,0.5101223581757508,0.2931451612903226,0.10949265005876845
sd_along,0.6120133481646273,0.6262096774193548,0.00016436987349705858
vel_entropy_L12,0.5012235817575084,0.08750000000000001,0.6397426728359816
sd_along,0.6489432703003337,0.5072580645161291,0.003584618769492466
sd_along,0.5461624026696329,0.6278225806451613,0.00015626694870501487
sd_along,0.7388209121245829,0.3951612903225806,0.02779445823156319
sd_along,0.7410456062291434,0.49314516129032265,0.004819754533586758
sd_along,0.5092324805339266,0.6072580645161291,0.0002917105751477041
vel_entropy_L12,0.49543937708565067,0.1625,0.38244118465280597
sd_along,0.5906562847608453,0.6455645161290323,8.79106000596636e-05
sd_along,0.6511679644048943,0.5391129032258064,0.001751590984031058
sd_along,0.6338153503893215,0.4955645161290323,0.004585241636179438
sd_along,0.531924360400445,0.6975806451612904,1.291297257568241e-05
sd_along,0.6453837597330366,0.5951612903225807,0.0004129486777852597
sd_along,0.48075639599555064,0.6705645161290322,3.663950354220075e-05
sd_along,0.5977753058954393,0.565725806451613,0.0009105439605025415
top1_frac_L9,0.5875417130144606,0.1866935483870968,0.31459517166493095
sd_along,0.5684093437152391,0.6270161290322582,0.0001602728388574267
sd_along,0.6529477196885429,0.4713709677419356,0.0074338445130868
sd_along,0.47452725250278077,0.705241935483871,9.410110433556976e-06
sd_along,0.4785317018909899,0.690725806451613,1.700126661891879e-05
top1_frac_L9,0.546607341490545,0.26532258064516134,0.14914763732741515
sd_along,0.7984427141268076,0.41330645161290325,0.020830462334677866
sd_along,0.5385984427141268,0.6032258064516131,0.0003280500098890114
sd_along,0.4580645161290322,0.6887096774193548,1.8407982171367082e-05
sd_along,0.6814238042269187,0.4758064516129033,0.006820952377219746
sd_along,0.7535038932146829,0.3798387096774194,0.035059972631180464
sd_along,0.5127919911012235,0.6483870967741936,7.995278514264417e-05
top1_frac_L9,0.6008898776418242,0.20846774193548392,0.2604106965644874
sd_along,0.5839822024471636,0.5891129032258066,0.0004888164609926302
sd_along,0.6600667408231368,0.5193548387096775,0.0027532392005429245
rog_L0,0.5661846496106785,0.23145161290322586,0.21027620819409898
sd_along,0.6195773081201335,0.526209677419355,0.0023606460158050327
sd_along,0.5443826473859844,0.6254032258064517,0.0001685598486234186
sd_along,0.6658509454949945,0.49959677419354837,0.004216107402971584
sd_along,0.6008898776418242,0.5725806451612904,0.0007624264137441109
sd_along,0.5230255839822024,0.6100806451612903,0.0002684419476625354
sd_along,0.6409343715239153,0.46048387096774196,0.009139411043685418
sd_along,0.6284760845383759,0.5169354838709678,0.002904674105003213
