system,eer_baseline,delta_baseline,ci_baseline_lo,ci_baseline_hi,eer_ablate_top1,delta_ablate_top1,ci_ablate_top1_lo,ci_ablate_top1_hi,eer_ablate_top2,delta_ablate_top2,ci_ablate_top2_lo,ci_ablate_top2_hi,eer_ablate_h2_h4,delta_ablate_h2_h4,ci_ablate_h2_h4_lo,ci_ablate_h2_h4_hi,eer_random_single_ctrl,delta_random_single_ctrl,ci_random_single_ctrl_lo,ci_random_single_ctrl_hi,eer_random_pair_ctrl,delta_random_pair_ctrl,ci_random_pair_ctrl_lo,ci_random_pair_ctrl_hi
Spark-TTS-0.5B,0.575854,0.0,0.461271,0.716694,0.625275,0.049422,0.5,0.722038,0.674697,0.098844,0.5,0.762477,0.687362,0.111509,0.601413,0.821327,0.56484,-0.011013,0.416547,0.67954,0.437362,-0.138491,0.333333,0.538816
Step-Audio-EditX,0.376752,0.0,0.265874,0.500382,0.454696,0.077944,0.333151,0.614377,0.454696,0.077944,0.312346,0.598903,0.545304,0.168552,0.345819,0.777472,0.374549,-0.002203,0.167109,0.48053,0.359682,-0.01707,0.249246,0.453832
Supertonic,0.25,0.0,0.172212,0.363836,0.375275,0.125275,0.235067,0.5,0.375275,0.125275,0.176427,0.453608,0.437362,0.187362,0.27518,0.611315,0.25,0.0,0.150365,0.400376,0.25,0.0,0.16182,0.367895
Veena,0.370319,0.0,0.221646,0.440787,0.30658,-0.063739,0.214286,0.40913,0.312638,-0.057682,0.242396,0.382044,0.31484,-0.055479,0.24971,0.386554,0.307131,-0.063188,0.184461,0.42929,0.302175,-0.068144,0.18633,0.400219
VoxCPM-0.5B,0.39389,0.0,0.319883,0.545281,0.475364,0.081474,0.361969,0.555448,0.478117,0.084227,0.385294,0.56595,0.554635,0.160745,0.443795,0.695307,0.357834,-0.036056,0.284029,0.554995,0.352878,-0.041012,0.249933,0.52413
VoxCPM-1.5,0.501101,0.0,0.399481,0.667443,0.571507,0.070406,0.447302,0.683717,0.575913,0.074811,0.478597,0.72969,0.643014,0.141913,0.486909,0.750275,0.569855,0.068754,0.363335,0.70254,0.500551,-0.000551,0.40011,0.676556
Voxtream,0.333517,0.0,0.248996,0.511318,0.388828,0.055311,0.237748,0.501189,0.341777,0.00826,0.234621,0.500014,0.388828,0.055311,0.276605,0.53406,0.388828,0.055311,0.230938,0.470775,0.336821,0.003304,0.249703,0.421708
WhisperSpeech,0.381005,0.0,0.293989,0.476114,0.428493,0.047488,0.285984,0.498639,0.370542,-0.010463,0.249097,0.464747,0.381005,0.0,0.285423,0.546304,0.381005,0.0,0.251928,0.480152,0.3766,-0.004405,0.238371,0.500167
ZipVoice,0.5,0.0,0.346099,0.692018,0.504405,0.004405,0.428368,0.693222,0.583517,0.083517,0.45147,0.747339,0.583517,0.083517,0.399618,0.72585,0.5,0.0,0.335405,0.69235,0.5,0.0,0.327838,0.647159
e2-tts,0.303276,0.0,0.192211,0.42804,0.374725,0.071448,0.199505,0.454545,0.312638,0.009361,0.176922,0.535227,0.44342,0.140143,0.342542,0.535737,0.262115,-0.041162,0.207082,0.421403,0.312638,0.009361,0.150133,0.411582
f5-tts,0.301795,0.0,0.199394,0.463122,0.366999,0.065205,0.253108,0.53315,0.413481,0.111687,0.315663,0.545937,0.529574,0.227779,0.403666,0.722466,0.288579,-0.013216,0.217255,0.465765,0.294085,-0.007709,0.183505,0.445378
facebook_mms-tts-eng,0.225098,0.0,0.07974,0.333739,0.277655,0.052558,0.125137,0.411644,0.277655,0.052558,0.111068,0.370597,0.333517,0.108419,0.221643,0.463856,0.229503,0.004405,0.091006,0.333257,0.222345,-0.002753,0.102868,0.308913
griffin_lim,0.392731,0.0,0.262671,0.570657,0.39989,0.007159,0.200205,0.581431,0.39989,0.007159,0.231026,0.525934,0.39989,0.007159,0.199965,0.615627,0.397687,0.004956,0.277002,0.524459,0.466814,0.074082,0.235089,0.610957
kokoro,0.307124,0.0,0.229653,0.389193,0.372537,0.065413,0.294269,0.453852,0.313732,0.006608,0.2082,0.388628,0.467569,0.160445,0.294615,0.578967,0.315934,0.008811,0.254215,0.444581,0.315934,0.008811,0.208242,0.476599
microsoft_speecht5_tts,0.433554,0.0,0.300194,0.591274,0.416483,-0.01707,0.284933,0.574658,0.416483,-0.01707,0.249505,0.594289,0.333517,-0.100037,0.169105,0.564964,0.416483,-0.01707,0.320766,0.586722,0.419236,-0.014317,0.224687,0.575619
minimax_speech-02-turbo,0.363536,0.0,0.162534,0.545304,0.363536,0.0,0.231071,0.550688,0.376752,0.013216,0.200022,0.565791,0.459652,0.096115,0.302662,0.579671,0.363536,0.0,0.166375,0.536989,0.363536,0.0,0.142342,0.533112
minimax_speech-2.6-hd,0.345631,0.0,0.200287,0.666484,0.333517,-0.012115,0.207438,0.571349,0.343429,-0.002203,0.2,0.527679,0.423091,0.07746,0.221009,0.516383,0.333517,-0.012115,0.228015,0.584452,0.39721,0.051579,0.189458,0.526993
optispeech,0.222782,0.0,0.123773,0.33376,0.230491,0.007709,0.174493,0.399328,0.287681,0.064899,0.133363,0.444814,0.372955,0.150173,0.199722,0.46472,0.214522,-0.00826,0.137381,0.389925,0.284928,0.062146,0.125397,0.362544
orpheus-tts-0.1-finetune,0.181768,0.0,0.066446,0.312929,0.181768,0.0,0.099505,0.375492,0.182869,0.001101,0.100369,0.361194,0.272928,0.091159,0.111586,0.399826,0.194433,0.012665,0.076541,0.33391,0.261364,0.079596,0.083137,0.350372
parler_tts_large_v1,0.199654,0.0,0.104194,0.250274,0.211768,0.012115,0.110484,0.352997,0.214522,0.014868,0.124362,0.356999,0.285478,0.085824,0.189318,0.42772,0.160085,-0.039569,0.096953,0.249739,0.207914,0.00826,0.104219,0.265781
parler_tts_mini_v0.1,0.176341,0.0,0.071374,0.279404,0.176341,0.0,0.094928,0.313519,0.176341,0.0,0.098213,0.315788,0.235488,0.059147,0.152708,0.383739,0.176341,0.0,0.081313,0.285571,0.176341,0.0,0.104068,0.272707
parler_tts_mini_v1,0.133443,0.0,0.004912,0.151705,0.152717,0.019273,0.004942,0.197033,0.127937,-0.005507,0.008219,0.128488,0.174192,0.040749,0.015239,0.459007,0.16373,0.030286,0.007076,0.225086,0.166483,0.03304,0.003828,0.256989
sesame_csm,0.321247,0.0,0.2224,0.444986,0.384488,0.063241,0.230942,0.525914,0.32345,0.002203,0.211748,0.501218,0.384488,0.063241,0.24986,0.545804,0.370722,0.049475,0.248807,0.424054,0.307481,-0.013767,0.222291,0.404287
suno_bark,0.428493,0.0,0.266329,0.633917,0.357536,-0.070957,0.249803,0.537854,0.356986,-0.071507,0.246406,0.5,0.34377,-0.084723,0.217288,0.49301,0.428493,0.0,0.219338,0.601801,0.428493,0.0,0.230896,0.600063
suno_bark-small,0.438955,0.0,0.300081,0.666849,0.428493,-0.010463,0.285984,0.599918,0.430695,-0.00826,0.257877,0.615415,0.356986,-0.08197,0.233026,0.571791,0.441709,0.002753,0.279193,0.692866,0.5,0.061045,0.344103,0.733358
vixTTS,0.17745,0.0,0.085046,0.251938,0.127478,-0.049972,0.063322,0.192338,0.136289,-0.041162,0.076755,0.223043,0.182406,0.004956,0.091425,0.240134,0.13739,-0.040061,0.076731,0.250014,0.192869,0.015419,0.095144,0.250014
pooled,0.360237,0.0,nan,nan,0.376492,0.016256,nan,nan,0.36999,0.009753,nan,nan,0.417656,0.057419,nan,nan,0.34995,-0.010286,nan,nan,0.345615,-0.014621,nan,nan
