epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-fnr,train-fpr,train-loss,train-tnr,train-tpr,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-fnr,val-fpr,val-loss,val-tnr,val-tpr
0,516,,,,,,,,,,,,0.5103697180747986,0.6377251148223877,0.0,0.04413656145334244,0.9994009733200073,0.39495041966438293,0.0775473415851593,0.9017132520675659,1.0214688777923584,0.0,1.0
0,516,0.6694390773773193,0.7398708462715149,0.13600598275661469,0.10431914031505585,0.6085167527198792,0.32327336072921753,0.4121059775352478,0.24898433685302734,0.7286794781684875,0.0,1.0,,,,,,,,,,,
1,1033,,,,,,,,,,,,0.5509467720985413,0.7085258960723877,0.0,0.03579980507493019,1.4942609071731567,0.35076645016670227,0.042380522936582565,0.855725884437561,1.512160301208496,0.0,1.0
1,1033,0.7293036580085754,0.8042106628417969,0.04655004292726517,0.05412726476788521,0.5402401089668274,0.27088168263435364,0.2994973063468933,0.24187307059764862,0.5905786752700806,0.0,1.0,,,,,,,,,,,
2,1550,,,,,,,,,,,,0.5040577054023743,0.6775407791137695,0.0,0.016715120524168015,2.1793386936187744,0.36789900064468384,0.014427412301301956,0.9774571657180786,2.1876964569091797,0.0,1.0
2,1550,0.7465183734893799,0.8261451721191406,0.03282587230205536,0.028799910098314285,0.5120366811752319,0.25328946113586426,0.29930394887924194,0.20762383937835693,0.5428499579429626,0.0,1.0,,,,,,,,,,,
3,2067,,,,,,,,,,,,0.547339916229248,0.7657159566879272,0.0,0.02559402957558632,1.3240606784820557,0.30027052760124207,0.019837692379951477,0.8854824304580688,1.3368579149246216,0.0,1.0
3,2067,0.7595744729042053,0.8395180702209473,0.02669735625386238,0.02422778494656086,0.49341756105422974,0.2455020248889923,0.2725865840911865,0.2082769274711609,0.5188804864883423,0.0,1.0,,,,,,,,,,,
4,2584,,,,,,,,,,,,0.6190261244773865,0.7481386661529541,0.0,0.014165651984512806,1.2330673933029175,0.3291253447532654,0.06221821531653404,0.6997295022010803,1.2401505708694458,0.0,1.0
4,2584,0.7697291970252991,0.8544546961784363,0.020213238894939423,0.025202004238963127,0.47230416536331177,0.23148326575756073,0.25710970163345337,0.2034422755241394,0.4950120747089386,0.0,1.0,,,,,,,,,,,
5,3101,,,,,,,,,,,,0.5247971415519714,0.7954952716827393,0.0,0.01075720600783825,1.6952481269836426,0.2858431041240692,0.0054102796129882336,0.9449954628944397,1.7006268501281738,0.0,1.0
5,3101,0.779593825340271,0.8615670204162598,0.019184313714504242,0.019494911655783653,0.4622974693775177,0.2255319207906723,0.24758221209049225,0.19323016703128815,0.48163723945617676,0.0,1.0,,,,,,,,,,,
6,3618,,,,,,,,,,,,0.6190261244773865,0.744631826877594,0.0,0.014428210444748402,1.033647894859314,0.3128944933414459,0.10820559412240982,0.6537421345710754,1.0408618450164795,0.0,1.0
6,3618,0.7907156944274902,0.8698927760124207,0.015794888138771057,0.01804354414343834,0.4504593312740326,0.2122969776391983,0.2304566502571106,0.18812838196754456,0.46737852692604065,0.0,1.0,,,,,,,,,,,
