epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.6145175695419312,0.754594087600708,0.0,0.01264925766736269,0.9702714085578918,0.31650134921073914,0.9765964150428772
0,516,0.7836557030677795,0.8642079830169678,0.017840079963207245,0.014399340376257896,0.4589759111404419,0.216827854514122,0.4750955402851105,,,,,,,
1,1033,,,,,,,,0.6798917651176453,0.7666176557540894,0.0,0.005926908925175667,0.7917904853820801,0.29125338792800903,0.7947542071342468
1,1033,0.7902321219444275,0.8738889694213867,0.014415721409022808,0.01837439276278019,0.44343501329421997,0.21133023500442505,0.45983022451400757,,,,,,,
2,1550,,,,,,,,0.5969341993331909,0.7447488903999329,0.0,0.01416364312171936,1.311686396598816,0.3089870810508728,1.31876802444458
2,1550,0.8003868460655212,0.8804508447647095,0.012087058275938034,0.013001658953726292,0.4333387613296509,0.20212766528129578,0.4458828866481781,,,,,,,
3,2067,,,,,,,,0.5324617028236389,0.7760365009307861,0.0,0.012083522044122219,1.9598768949508667,0.28539225459098816,1.9659191370010376
3,2067,0.8020309209823608,0.8855115175247192,0.012153791263699532,0.00840015895664692,0.42389947175979614,0.2010059952735901,0.4341762959957123,,,,,,,
4,2584,,,,,,,,0.5437331199645996,0.7614476680755615,0.0,0.010843053460121155,1.6614258289337158,0.3157123625278473,1.6668468713760376
4,2584,0.8176982402801514,0.8965833187103271,0.011353720910847187,0.010494841262698174,0.4034726023674011,0.1863332986831665,0.41439706087112427,,,,,,,
