name,group,kind,params,overall_eer,hard_eer,easy_eer,overall_auc,delta_eer,phoneme_var,frame_dist
wav_ma_5ms,smooth,moving_avg,{'window_ms': 5},0.4052018072006237,0.5051836640058296,0.3434409370715057,0.6158090134600753,0.04551581300545732,0.27688345313072205,14.678821563720703
wav_ma_10ms,smooth,moving_avg,{'window_ms': 10},0.4469158299127396,0.533437117021629,0.38478425766548996,0.5669011769347096,0.0872298357175732,0.2528952360153198,14.300337791442871
wav_ma_20ms,smooth,moving_avg,{'window_ms': 20},0.4788764641236862,0.5356397601934351,0.451487148816991,0.5188093516057222,0.11919046992851978,0.21016733348369598,13.06045150756836
wav_glpf_1ms,smooth,gaussian_lpf,{'sigma_ms': 1.0},0.6078027108009355,0.5867352853499388,0.607499197712752,0.34939251195250925,0.24811671660576912,0.05304576829075813,10.664387702941895
wav_glpf_2p5ms,smooth,gaussian_lpf,{'sigma_ms': 2.5},0.5211235358763138,0.5759125235997482,0.35722204393616713,0.47752505565313774,0.16143754168114738,0.0014048181474208832,10.57778549194336
wav_glpf_5ms,smooth,gaussian_lpf,{'sigma_ms': 5.0},0.4680217540366137,0.4502335132986651,0.4035286051871517,0.5346775405539952,0.10833575984144733,0.00034776897518895566,11.393766403198242
wav_baseline,baseline,none,{},0.3596859941951664,0.4741769070252725,0.2585443591912945,0.6883893934982108,0.0,0.4093504846096039,16.36885643005371
wav_shuf_5ms,jitter,seg_shuffle,{'window_ms': 5},0.5568683486281619,0.48995561591202674,0.5176393791755405,0.4324460141081878,0.19718235443299553,0.0010298254201188684,17.59760856628418
wav_shuf_10ms,jitter,seg_shuffle,{'window_ms': 10},0.5617538487549665,0.5225191282170183,0.4757453977886046,0.42366244610803755,0.2020678545598001,0.0016484068473801017,16.998193740844727
wav_shuf_20ms,jitter,seg_shuffle,{'window_ms': 20},0.528176455670045,0.5356397601934351,0.4222729527088135,0.45185533941369305,0.16849046147487862,0.0012776799267157912,16.55495262145996
wav_noise_001,jitter,gauss_noise,{'sigma': 0.001},0.3878624498652114,0.4964683183730251,0.31366878664994025,0.6448143956116209,0.02817645567004501,0.38787826895713806,16.216278076171875
wav_noise_005,jitter,gauss_noise,{'sigma': 0.005},0.42090679390962116,0.5215130336855354,0.3456435802433118,0.6051351173647181,0.061220799714454766,0.33764445781707764,16.004974365234375
wav_noise_01,jitter,gauss_noise,{'sigma': 0.01},0.44258099057888656,0.5328864562286775,0.3798210170084897,0.579104947258672,0.08289499638372017,0.3055056631565094,16.00791358947754
