epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-fnr,train-fpr,train-loss,train-tnr,train-tpr,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-fnr,val-fpr,val-loss,val-tnr,val-tpr
0,395,,,,,,,,,,,,0.9082661271095276,0.9876728057861328,0.0,0.04097399115562439,0.2144080251455307,0.05377456173300743,0.1661750227212906,0.013443640433251858,0.2348950207233429,0.0,1.0
0,395,0.8685606122016907,0.9464422464370728,0.11806321144104004,0.08918450027704239,0.29822519421577454,0.13138501346111298,0.13189326226711273,0.13099122047424316,0.4018491506576538,0.0,1.0,,,,,,,,,,,
1,791,,,,,,,,,,,,0.9440523982048035,0.9943951964378357,0.0,0.028717903420329094,0.14146873354911804,0.038348082453012466,0.09341199696063995,0.016546018421649933,0.15582771599292755,0.0,1.0
1,791,0.9195706844329834,0.9761404991149902,0.029652809724211693,0.036452583968639374,0.20016694068908691,0.07977642118930817,0.07342479377985,0.08734939992427826,0.2332196682691574,0.0,1.0,,,,,,,,,,,
2,1187,,,,,,,,,,,,0.9526209831237793,0.9953327178955078,0.0,0.03703968971967697,0.11533965915441513,0.039296794682741165,0.07866273075342178,0.014477766118943691,0.13385948538780212,0.0,1.0
2,1187,0.9380050301551819,0.9859176874160767,0.016358304768800735,0.026436148211359978,0.1529756486415863,0.06069726496934891,0.05491990968585014,0.06897416710853577,0.17437288165092468,0.0,1.0,,,,,,,,,,,
3,1583,,,,,,,,,,,,0.8190523982048035,0.9957821369171143,0.0,0.024567190557718277,0.4614342153072357,0.029498524963855743,0.0009832842042669654,0.3702171742916107,0.4737176299095154,0.0,1.0
3,1583,0.9414141178131104,0.9863742589950562,0.013573084026575089,0.03262355178594589,0.14910094439983368,0.05746249854564667,0.05237732082605362,0.06471031159162521,0.1721993237733841,0.0,1.0,,,,,,,,,,,
4,1979,,,,,,,,,,,,0.9798387289047241,0.9976968765258789,0.0,0.01888398639857769,0.06002609059214592,0.02458210475742817,0.015732547268271446,0.0248190276324749,0.06946808099746704,0.0,1.0
4,1979,0.9469696879386902,0.9872435331344604,0.008716536685824394,0.01692248322069645,0.14235630631446838,0.05368790775537491,0.04855109378695488,0.05745108053088188,0.15517576038837433,0.0,1.0,,,,,,,,,,,
5,2375,,,,,,,,,,,,0.9813507795333862,0.9986150860786438,0.0,0.013077205047011375,0.050154659897089005,0.017699114978313446,0.02261553518474102,0.014477766118943691,0.05669326335191727,0.0,1.0
5,2375,0.9507575631141663,0.9896063804626465,0.008111569099128246,0.02276962623000145,0.13039559125900269,0.049924734979867935,0.043975599110126495,0.05444054305553436,0.14583612978458405,0.0,1.0,,,,,,,,,,,
6,2771,,,,,,,,,,,,0.9768145084381104,0.9982032775878906,0.0,0.012570024468004704,0.05877126380801201,0.02261553518474102,0.017699114978313446,0.028955532237887383,0.06505627185106277,0.0,1.0
6,2771,0.9577020406723022,0.9925703406333923,0.0065541863441467285,0.020444974303245544,0.11015530675649643,0.04219623655080795,0.03990849107503891,0.04465629532933235,0.12365488708019257,0.0,1.0,,,,,,,,,,,
