epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.5229936838150024,0.759288489818573,0.0,0.014612765051424503,1.8083460330963135,0.3161545395851135,1.8156527280807495
0,516,0.8085106611251831,0.8902846574783325,0.020548248663544655,0.012645872309803963,0.4145376980304718,0.19145232439041138,0.43113458156585693,,,,,,,
1,1033,,,,,,,,0.5238953828811646,0.7642027735710144,0.0,0.013738807290792465,1.8781771659851074,0.3044183850288391,1.885047197341919
1,1033,0.8204061985015869,0.8974000215530396,0.01492272224277258,0.011875884607434273,0.40252089500427246,0.18273694813251495,0.41592031717300415,,,,,,,
2,1550,,,,,,,,0.5653741955757141,0.7653943300247192,0.0,0.015246703289449215,1.3981448411941528,0.3017733693122864,1.4057682752609253
2,1550,0.8239845037460327,0.9055604934692383,0.013626283034682274,0.009971831925213337,0.387525349855423,0.17678916454315186,0.3993241488933563,,,,,,,
3,2067,,,,,,,,0.5698827505111694,0.7607675194740295,0.0,0.007097112014889717,1.8840878009796143,0.3150586187839508,1.8876370191574097
3,2067,0.8395551443099976,0.9164519906044006,0.012951434589922428,0.004945304244756699,0.3645351231098175,0.16131527721881866,0.37348341941833496,,,,,,,
4,2584,,,,,,,,0.5928764939308167,0.7945443391799927,0.0,0.01352546364068985,1.2505724430084229,0.28004637360572815,1.2573350667953491
4,2584,0.8406189680099487,0.9221876859664917,0.010870791040360928,0.007613946218043566,0.35118529200553894,0.1599922627210617,0.3604276180267334,,,,,,,
