system,subset,p_family,n_sig,surviving_phonemes
A01,critical,9.999000099990002e-05,1,aʊ
A02,critical,0.34956504349565043,0,none
A03,critical,0.0011998800119988001,0,none
A04,critical,0.007699230076992301,0,none
A05,critical,0.38566143385661433,0,none
A06,critical,0.46355364463553644,0,none
