true\pred,bonafide,A01,A02,A03,A04,A05,A06
bonafide,139,1,8,8,4,0,40
A01,0,146,13,22,16,3,0
A02,3,31,136,13,5,3,9
A03,5,25,8,148,10,1,3
A04,19,16,4,16,137,0,8
A05,1,2,7,0,5,174,11
A06,29,3,13,10,16,10,119
