,thr,n_spoof,n_bona,FP,FN,TP,TN,FPR_bona->spoof,FNR_spoof->bona,acc,FP_share_of_error,FN_share_of_error
MLAAD_indomain@EERthr,1.6401598453521729,938.0,908.0,247.0,256.0,682.0,661.0,0.2720264317180617,0.27292110874200426,0.7275189599133262,0.49105367793240556,0.5089463220675944
ITW@MLAAD_EERthr(transfer),1.6401598453521729,3000.0,3000.0,2960.0,6.0,2994.0,40.0,0.9866666666666667,0.002,0.5056666666666667,0.9979770734996628,0.0020229265003371545
ITW@MLAAD_Youden(transfer),1.6746866703033447,3000.0,3000.0,2959.0,7.0,2993.0,41.0,0.9863333333333333,0.0023333333333333335,0.5056666666666667,0.99763991908294,0.0023600809170600135
ITW@own_EERthr(MLAADdet),7.497675895690918,3000.0,3000.0,1246.0,1246.0,1754.0,1754.0,0.41533333333333333,0.41533333333333333,0.5846666666666667,0.5,0.5
ITW@own_EERthr(robust_goat),6.23249626159668,3000.0,3000.0,865.0,864.0,2136.0,2135.0,0.28833333333333333,0.288,0.7118333333333333,0.5002891844997108,0.4997108155002892
