snr_q,med_snr,FP_rate,n
0,12.0,0.9707792207792207,616
1,17.0,0.9957325746799431,703
2,23.0,0.9938144329896907,485
3,30.0,0.9951456310679612,618
4,54.0,0.9775086505190311,578
