comparison,itw_med,mlaad_med,median_shift,cliff,cohen_d,ks,ks_p,itw_frac_above_thr,mlaad_frac_above_thr
bona: ITW vs MLAAD,7.07882022857666,0.2412376999855041,6.837582528591156,0.9548810572687225,3.1535078916361488,0.865064610866373,3.95e-322,0.9866666666666667,0.2720264317180617
spoof: ITW vs MLAAD,7.87061882019043,3.4961798191070557,4.374439001083374,0.7927100213219616,2.0787063938092256,0.6387370291400142,5.084629354615959e-277,0.998,0.7270788912579957
